,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details,Class,Version2,Version1
4507,109838,4.9,986,2016,21000.0,Ford,Good,6 Ford Explorer XLT,XLT,Explorer,Ford
4508,11243,4.3,2181,2021,51789.0,Ford,Good, Ford Explorer Platinum,Platinum,Explorer,Ford
4509,35224,4.9,2461,2017,32500.0,Acura,Fair,7 Acura MDX 3.5L,3.5L,MDX,Acura
4510,11202,4.6,598,2021,37884.0,Acura,Great, Acura TLX Advance,Advance,TLX,Acura
4511,47541,4.6,932,2020,43435.0,Honda,Fair, Honda Civic Type R Touring,Touring,R,Type
4512,43388,4.4,168,2021,26500.0,Kia,Unknown, Kia Seltos S,S,Seltos,Kia
4513,50749,4.2,167,2020,41319.0,Cadillac,Great, Cadillac CT5 Sport RWD,RWD,Sport,CT5
4514,7740,4.9,1499,2022,52684.0,BMW,Good, BMW X3 xDrive30i,xDrive30i,X3,BMW
4515,29176,5.0,74,2019,38750.0,GMC,Great,9 GMC Acadia Denali,Denali,Acadia,GMC
4516,8450,4.7,658,2022,41000.0,Toyota,Good, Toyota Highlander XLE,XLE,Highlander,Toyota
4517,2740,4.5,61,2021,44444.0,Toyota,Unknown, Toyota Supra ,Supra,Toyota,Toyota
4518,41953,4.7,830,2020,37989.0,Ford,Great, Ford Explorer Limited,Limited,Explorer,Ford
4519,9962,4.8,315,2021,28065.0,Dodge,Great, Dodge Charger SXT,SXT,Charger,Dodge
4520,7770,4.3,291,2022,44997.0,Mercedes-Benz,Good, Mercedes-Benz GLB 250 Base 4MATIC,4MATIC,Base,250
4521,26759,2.6,210,2021,75590.0,Ford,Good, Ford F-250 Platinum,Platinum,F-250,Ford
4522,756,4.7,3413,2022,64130.0,Chevrolet,Fair, Chevrolet Silverado 1500 High Country,Country,High,1500
4523,25548,4.8,46,2019,37994.0,INFINITI,Good,9 INFINITI QX50 ESSENTIAL,ESSENTIAL,QX50,INFINITI
4524,9415,2.5,155,2021,39995.0,Ford,Good, Ford Mustang GT,GT,Mustang,Ford
4525,8261,4.6,1273,2022,38690.0,Ford,Good, Ford Ranger XL,XL,Ranger,Ford
4526,10359,4.6,4433,2019,61563.0,Toyota,Good,9 Toyota Sequoia Platinum,Platinum,Sequoia,Toyota
4527,17903,3.7,43,2021,55495.0,GMC,Good, GMC Sierra 1500 SLT,SLT,1500,Sierra
4528,4197,4.8,2005,2021,53995.0,BMW,Good, BMW X3 PHEV xDrive30e,xDrive30e,PHEV,X3
4529,67490,4.6,881,2019,33995.0,GMC,Great,9 GMC Acadia Denali,Denali,Acadia,GMC
4530,28870,3.9,307,2022,27999.0,Nissan,Unknown, Nissan Maxima 3.5 SV,SV,3.5,Maxima
4531,4316,4.6,1068,2021,86498.0,BMW,Great, BMW M4 Competition,Competition,M4,BMW
4532,38021,3.7,63,2020,63988.0,BMW,Great, BMW M4 Base,Base,M4,BMW
4533,15488,4.5,2582,2021,42388.0,Volkswagen,Great, Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium,Premium,SEL,V6
4534,24823,4.6,1190,2020,31390.0,Volkswagen,Great, Volkswagen Atlas Cross Sport 2.0T SE w/Technology,w/Technology,SE,2.0T
4535,24122,4.6,1190,2021,27990.0,Volkswagen,Unknown, Volkswagen Atlas Cross Sport 2.0T S,S,2.0T,Sport
4536,7923,3.3,11,2022,44185.0,Volkswagen,Fair, Volkswagen Atlas Cross Sport 3.6 V6 SEL R-Line,R-Line,SEL,V6
4537,13170,4.6,1190,2020,33900.0,Volkswagen,Great, Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,w/Technology,SE,V6
4538,10249,1.7,170,2022,64295.0,Toyota,Good, Toyota Tundra Limited,Limited,Tundra,Toyota
4539,33173,4.3,1640,2017,37999.0,Ford,Good,7 Ford Focus RS Base,Base,RS,Focus
4540,30694,4.0,50,2019,21388.0,Buick,Good,9 Buick Encore Preferred,Preferred,Encore,Buick
4541,7427,4.8,421,2021,125995.0,Porsche,Good, Porsche Taycan 4S,4S,Taycan,Porsche
4542,18493,3.3,173,2020,52000.0,Cadillac,Great, Cadillac CT6 Luxury,Luxury,CT6,Cadillac
4543,8056,4.9,97,2019,69980.0,Porsche,Good,9 Porsche 718 Boxster Base,Base,Boxster,718
4544,21743,4.7,955,2021,48999.0,BMW,Great, BMW M340 i,i,M340,BMW
4545,20627,4.7,262,2021,49444.0,INFINITI,Unknown, INFINITI QX50 AUTOGRAPH,AUTOGRAPH,QX50,INFINITI
4546,37536,4.9,1293,2017,49477.0,Ford,Fair,7 Ford Transit-250 Base,Base,Transit-250,Ford
4547,25056,4.6,1140,2019,37608.0,Toyota,Good,9 Toyota Avalon XLE Touring,Touring,XLE,Avalon
4548,28885,4.2,1684,2019,46349.0,Volvo,Unknown,9 Volvo S60 Hybrid T8 Inscription,Inscription,T8,Hybrid
4549,7454,4.4,441,2022,43777.0,RAM,Good, RAM 1500 Big Horn,Horn,Big,1500
4550,5000,2.1,117,2022,46299.0,Chrysler,Fair, Chrysler Pacifica Limited,Limited,Pacifica,Chrysler
4551,13445,4.7,1890,2022,44985.0,Nissan,Good, Nissan Pathfinder Platinum,Platinum,Pathfinder,Nissan
4552,6831,4.5,162,2018,76995.0,Porsche,Good, Porsche 718 Cayman S,S,Cayman,718
4553,2201,3.3,138,2022,45979.0,GMC,Good, GMC Canyon Denali,Denali,Canyon,GMC
4554,42365,4.8,485,2020,33495.0,INFINITI,Great, INFINITI QX50 Luxe,Luxe,QX50,INFINITI
4555,29531,4.9,98,2017,54498.0,Porsche,Great,7 Porsche Cayenne E-Hybrid S,S,E-Hybrid,Cayenne
4556,34143,4.4,1610,2018,32791.0,GMC,Great, GMC Sierra 1500 Base,Base,1500,Sierra
4557,1230,4.4,2435,2022,79400.0,GMC,Good, GMC Yukon AT4,AT4,Yukon,GMC
4558,8243,4.7,406,2021,30988.0,Kia,Good, Kia K5 EX,EX,K5,Kia
4559,41095,4.9,67,2020,37522.0,Honda,Good, Honda Pilot EX-L,EX-L,Pilot,Honda
4560,403,4.1,1267,2022,75317.0,GMC,Good, GMC Yukon XL SLT,SLT,XL,Yukon
4561,26921,2.8,208,2019,44988.0,Volvo,Good,9 Volvo S90 T6 Inscription,Inscription,T6,S90
4562,12634,4.7,1253,2022,41645.0,Nissan,Good, Nissan Pathfinder SL,SL,Pathfinder,Nissan
4563,1541,3.8,1906,2022,95991.0,Toyota,Good, Toyota Tundra Hybrid Capstone,Capstone,Hybrid,Tundra
4564,26209,4.8,1693,2021,26950.0,Honda,Good, Honda Insight EX,EX,Insight,Honda
4565,6520,4.8,36,2022,69000.0,INFINITI,Unknown, INFINITI QX80 LUXE,LUXE,QX80,INFINITI
4566,16470,4.8,2359,2021,38850.0,Cadillac,Good, Cadillac CT5 Premium Luxury AWD,AWD,Luxury,Premium
4567,15925,4.8,1616,2021,43990.0,Volkswagen,Fair, Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,R-Line,Technology,w/
4568,9158,4.5,207,2021,38125.0,Volkswagen,Good, Volkswagen Arteon 2.0T SEL R-Line,R-Line,SEL,2.0T
4569,19215,4.3,1292,2021,52997.0,Ford,Good, Ford F-150 XLT,XLT,F-150,Ford
4570,4149,4.6,2697,2022,34197.0,MINI,Good, MINI SE Hardtop Cooper,Cooper,Hardtop,SE
4571,35128,4.9,2930,2020,40398.0,Buick,Good, Buick Enclave Premium,Premium,Enclave,Buick
4572,3446,4.9,438,2022,51920.0,Cadillac,Fair, Cadillac CT5 Sport AWD,AWD,Sport,CT5
4573,79865,4.0,1024,2018,30046.0,Ford,Good, Ford F-150 XLT,XLT,F-150,Ford
4574,32572,4.9,2739,2021,38863.0,BMW,Great, BMW 330 i,i,330,BMW
