,Name,Vehicle_details,Mileage,Rating,Rating-Count,Price,Deal-Status,Year,Status
6328,Toyota,2019 Toyota Avalon XLE,37332 ,4.7,4293 ,30997,Good Deal | $767 under,2019,Good
6329,Honda,2022 Honda Accord Hybrid Sport,21807 ,4.8,2345 ,35990,Good Deal,2022,Good
6330,Honda,2021 Honda Odyssey EX-L,12690 ,4.6,970 ,42910,Good Deal,2021,Good
6331,Toyota,2020 Toyota Avalon TRD,34486 ,4.8,1341 ,37500,Good Deal,2020,Good
6332,Nissan,2021 Nissan Maxima Platinum,3052 ,Nan,32 ,49998,Fair Deal,2021,Fair
6333,Volvo,2021 Volvo XC90 Recharge Plug-In Hybrid T8 Inscription Expression 7 Passenger,21218 ,4.5,75 ,59988,Great Deal,2021,Great
6334,Volvo,2022 Volvo XC40 R-Design,3179 ,4.1,44 ,52195,Fair Deal,2022,Fair
6335,Ford,2021 Ford Transit-350 XLT,19241 ,4.3,1290 ,59997,Good Deal | $740 under,2021,Good
6336,Volvo,2020 Volvo S60 Hybrid T8 Inscription,30239 ,4.8,1235 ,46991,Good Deal | $1596 under,2020,Good
6337,Mercedes-Benz,2021 Mercedes-Benz AMG GLB 35 Base,11654 ,3.0,80 ,52952,Great Deal,2021,Great
6338,Ford,2021 Ford Bronco Sport Big Bend,8300 ,3.8,16 ,36948,Good Deal,2021,Good
6339,Nissan,2022 Nissan Armada SL,20338 ,Nan,48 ,52686,CPO Warrantied,2022,Unknown
6340,Porsche,2022 Porsche Panamera Turbo S,5679 ,4.7,133 ,178017,Good Deal,2022,Good
6341,BMW,2021 BMW X7 xDrive40i,50750 ,1.9,26 ,64000,CPO Warrantied,2021,Unknown
6342,BMW,2019 BMW X7 xDrive50i,35290 ,4.9,119 ,65987,Great Deal,2019,Great
6343,Kia,2021 Kia Seltos SX,18216 ,4.7,1738 ,29600,Fair Deal,2021,Fair
6344,BMW,2021 BMW 430 i,18061 ,4.0,1289 ,44795,Great Deal | $5692 under,2021,Great
6345,Ford,2020 Ford Explorer ST,23135 ,4.3,510 ,52950,Good Deal,2020,Good
6346,INFINITI,2020 INFINITI QX50 SENSORY,37328 ,4.7,1929 ,41599,Good Deal,2020,Good
6347,Toyota,2020 Toyota RAV4 Hybrid XLE,35182 ,4.7,846 ,37692,Good Deal,2020,Good
6348,Bentley,2022 Bentley Flying Spur ,7996 ,Nan,15 ,249999,CPO Warrantied,2022,Unknown
6349,Chevrolet,2019 Chevrolet Silverado 1500 LD LT,21135 ,4.5,922 ,35950,Good Deal,2019,Good
6350,Volvo,2019 Volvo XC90 T6 Inscription,18084 ,Nan,26 ,48988,CPO Warrantied,2019,Unknown
6351,RAM,2019 RAM 2500 Tradesman,51528 ,4.0,22 ,40495,Great Deal | $2032 under,2019,Great
6352,Porsche,2020 Porsche Taycan Turbo S,5395 ,4.9,1765 ,174950,Good Deal | $3157 under,2020,Good
6353,Jeep,2020 Jeep Gladiator Overland,21202 ,Nan,88 ,46900,Great Deal | $4773 under,2020,Great
6354,Jeep,2020 Jeep Gladiator Overland,39643 ,Nan,Nan,40736,Great Deal | $5052 under,2020,Great
6355,Jeep,2020 Jeep Gladiator Overland,59443 ,4.7,536 ,38987,Great Deal | $6176 under,2020,Great
6356,Jeep,2021 Jeep Gladiator Rubicon,14998 ,Nan,Nan,51350,Great Deal | $3618 under,2021,Great
6357,Jeep,2020 Jeep Gladiator Rubicon,34707 ,4.5,980 ,49999,Great Deal | $2733 under,2020,Great
6358,Jeep,2020 Jeep Gladiator Sport,48142 ,4.8,322 ,36299,Great Deal | $6163 under,2020,Great
6359,Jeep,2022 Jeep Gladiator Mojave,4825 ,4.8,322 ,51999,Good Deal,2022,Good
6360,Porsche,2014 Porsche Cayman Base (M6),18622 ,4.7,321 ,53900,Good Deal,2014,Good
6361,Honda,2021 Honda Pilot EX-L,22990 ,4.3,1826 ,39877,Good Deal,2021,Good
6362,Kia,2021 Kia Seltos S,43388 ,4.4,167 ,26500,CPO Warrantied,2021,Unknown
6363,Porsche,2019 Porsche 911 Turbo S,11864 ,Nan,19 ,185999,Great Deal,2019,Great
6364,BMW,2019 BMW 750 i xDrive,51259 ,4.8,1438 ,47823,Great Deal,2019,Great
6365,BMW,2019 BMW 750 i xDrive,27161 ,4.8,1438 ,59037,CPO Warrantied,2019,Unknown
6366,Jeep,2021 Jeep Grand Cherokee Laredo X,11107 ,4.3,779 ,34000,Great Deal | $7367 under,2021,Great
6367,Ford,2020 Ford Ranger XL,6004 ,4.8,3053 ,34000,Great Deal | $2656 under,2020,Great
6368,Cadillac,2021 Cadillac XT6 Sport AWD,52241 ,4.4,257 ,47247,Great Deal | $5718 under,2021,Great
6369,Cadillac,2020 Cadillac XT6 Premium Luxury AWD,25960 ,4.8,125 ,45977,Great Deal | $3510 under,2020,Great
6370,Cadillac,2020 Cadillac XT6 Sport AWD,32949 ,5.0,297 ,48490,Great Deal | $2525 under,2020,Great
6371,Jeep,2021 Jeep Gladiator Sport,12070 ,2.6,176 ,43550,Great Deal | $2639 under,2021,Great
6372,Toyota,2022 Toyota Tundra Hybrid Capstone,629 ,2.9,1010 ,89995,Good Deal | $3580 under,2022,Good
6373,Volkswagen,2021 Volkswagen Atlas 3.6 V6 SEL Premium R-Line,6734 ,Nan,1 ,48995,Good Deal | $447 under,2021,Good
6374,Chevrolet,2020 Chevrolet Suburban Premier,37657 ,4.7,1382 ,67987,Good Deal | $2710 under,2020,Good
6375,Acura,2022 Acura MDX Technology,33072 ,3.7,437 ,52388,Good Deal,2022,Good
6376,INFINITI,2020 INFINITI QX60 LUXE,26462 ,4.5,740 ,40500,CPO Warrantied,2020,Unknown
6377,Volkswagen,2021 Volkswagen Tiguan 2.0T SEL Premium R-Line,17318 ,4.4,187 ,34678,Great Deal | $2245 under,2021,Great
6378,Toyota,2021 Toyota Venza Limited,46715 ,4.2,2886 ,37154,Good Deal | $1169 under,2021,Good
6379,Toyota,2019 Toyota RAV4 LE,22179 ,4.9,2025 ,29500,Good Deal | $1222 under,2019,Good
6380,GMC,2019 GMC Yukon SLT,32255 ,4.5,506 ,43490,Great Deal | $9200 under,2019,Great
6381,GMC,2019 GMC Yukon SLT,36045 ,4.4,1763 ,44795,Great Deal | $8393 under,2019,Great
6382,GMC,2019 GMC Yukon Denali,42935 ,4.8,745 ,53467,Great Deal | $7071 under,2019,Great
6383,BMW,2020 BMW 228 Gran Coupe i xDrive,30807 ,4.7,617 ,34388,Great Deal | $5552 under,2020,Great
6384,Volkswagen,2021 Volkswagen Atlas 3.6 SE w/ Technology R-Line,19481 ,4.6,30 ,41999,Good Deal | $940 under,2021,Good
6385,Ford,2020 Ford EcoSport SE,10632 ,4.6,85 ,24465,Good Deal,2020,Good
6386,Porsche,2020 Porsche Panamera GTS,16088 ,3.3,103 ,131900,Fair Deal,2020,Fair
6387,Maserati,2022 Maserati Levante Modena,6926 ,4.8,1896 ,89900,Good Deal | $1227 under,2022,Good
6388,BMW,2020 BMW X7 xDrive40i,34043 ,4.7,617 ,63999,Great Deal | $9210 under,2020,Great
6389,Toyota,2022 Toyota RAV4 Prime SE,1743 ,4.3,960 ,60142,Good Deal | $1174 under,2022,Good
6390,Kia,2020 Kia Telluride LX,42332 ,4.1,821 ,33991,Great Deal | $3119 under,2020,Great
6391,Ford,2019 Ford Edge SEL,30401 ,4.4,276 ,27930,Good Deal | $1067 under,2019,Good
6392,Chrysler,2019 Chrysler Pacifica Touring L Plus,33912 ,3.9,125 ,34444,CPO Warrantied,2019,Unknown
6393,Nissan,2020 Nissan Maxima 3.5 S,23403 ,1.8,225 ,28990,Good Deal | $1081 under,2020,Good
6394,Toyota,2022 Toyota 4Runner TRD Pro,16894 ,4.9,2884 ,58994,Good Deal | $663 under,2022,Good
6395,Toyota,2019 Toyota 4Runner SR5,22353 ,4.9,6639 ,36097,Great Deal | $2664 under,2019,Great
6396,Ford,2022 Ford Bronco Sport BASE,12630 ,Nan,265 ,30980,CPO Warrantied,2022,Unknown
6397,Porsche,2016 Porsche 911 Targa 4S,37544 ,5.0,401 ,134998,Fair Deal,2016,Fair
6398,Chevrolet,2019 Chevrolet Silverado 1500 LD LT,44665 ,4.3,141 ,35000,Great Deal,2019,Great
6399,Toyota,2020 Toyota Tundra Platinum,29730 ,4.7,1030 ,52940,Good Deal,2020,Good
6400,Kia,2020 Kia Sorento S,42117 ,4.8,2765 ,31500,Fair Deal,2020,Fair
6401,Volvo,2021 Volvo XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,18249 ,4.8,1235 ,68895,Great Deal | $6705 under,2021,Great
6402,Dodge,2021 Dodge Durango R/T,25506 ,4.7,1543 ,51922,Good Deal,2021,Good
6403,GMC,2018 GMC Yukon Denali,59675 ,4.6,323 ,48133,Great Deal | $5251 under,2018,Great
6404,Rolls-Royce,2021 Rolls-Royce Ghost Base,1937 ,4.6,258 ,383988,Good Deal | $7350 under,2021,Good
6405,Kia,2021 Kia K5 LXS,40615 ,Nan,29 ,26900,CPO Warrantied,2021,Unknown
6406,Ford,2022 Ford F-150 XLT,7398 ,Nan,139 ,59490,CPO Warrantied,2022,Unknown
6407,Ford,2020 Ford F-150 XLT,43770 ,4.3,510 ,39950,Good Deal | $706 under,2020,Good
6408,Nissan,2019 Nissan Armada SL,53074 ,1.7,14 ,35430,Great Deal | $5010 under,2019,Great
6409,Bentley,2020 Bentley Flying Spur W12,4080 ,Nan,17 ,239900,CPO Warrantied,2020,Unknown
6410,Chevrolet,2022 Chevrolet Tahoe LT,14741 ,4.6,646 ,64499,Great Deal | $7537 under,2022,Great
6411,Kia,2019 Kia Stinger Base,36768 ,4.8,1719 ,28694,Great Deal | $1516 under,2019,Great
6412,Kia,2022 Kia Stinger GT-Line,13456 ,4.7,3211 ,36885,Great Deal | $3977 under,2022,Great
6413,Ford,2020 Ford Expedition Max XLT,28683 ,4.7,1456 ,59441,Good Deal | $1086 under,2020,Good
6414,Honda,2019 Honda HR-V EX,30924 ,4.9,828 ,25999,CPO Warrantied,2019,Unknown
6415,Volvo,2021 Volvo XC90 Recharge Plug-In Hybrid T8 Inscription 6 Passenger,19375 ,4.8,1241 ,66795,Great Deal,2021,Great
6416,Volvo,2018 Volvo V60 T5 Dynamic,26892 ,Nan,18 ,27995,Great Deal | $3409 under,2018,Great
6417,Toyota,2020 Toyota Prius XLE,29200 ,4.9,3767 ,30899,Good Deal | $776 under,2020,Good
6418,Toyota,2017 Toyota 4Runner TRD Pro,63703 ,3.5,776 ,38990,Good Deal | $929 under,2017,Good
6419,BMW,2019 BMW M240 i,26896 ,4.6,2697 ,43469,Good Deal | $208 under,2019,Good
6420,Chevrolet,2020 Chevrolet Traverse RS,22015 ,4.9,143 ,43859,Great Deal | $3379 under,2020,Great
6421,BMW,2020 BMW X5 M Base,21521 ,4.9,1268 ,95880,Great Deal,2020,Great
6422,Jeep,2021 Jeep Wrangler Rubicon,35045 ,4.6,3888 ,42500,Great Deal,2021,Great
6423,Ford,2021 Ford Expedition KING RANCH,17819 ,4.9,83 ,73891,CPO Warrantied,2021,Unknown
6424,BMW,2019 BMW 530 i,23546 ,4.7,1065 ,34496,Great Deal,2019,Great
6425,Honda,2019 Honda Odyssey Elite,37460 ,Nan,Nan,40000,Great Deal | $2622 under,2019,Great
6426,Jeep,2020 Jeep Gladiator Rubicon,24413 ,4.2,606 ,47500,Great Deal | $8128 under,2020,Great
6427,BMW,2020 BMW 750 i xDrive,1633 ,4.7,617 ,74888,Great Deal,2020,Great
6428,GMC,2020 GMC Sierra 1500 Denali,9070 ,4.4,1499 ,59810,Great Deal | $3737 under,2020,Great
6429,Volkswagen,2021 Volkswagen Atlas 3.6 SE w/ Technology,28674 ,Nan,3 ,36995,CPO Warrantied,2021,Unknown
6430,Mercedes-Benz,2020 Mercedes-Benz GLE 350 Base 4MATIC,27103 ,4.9,734 ,51894,Great Deal | $8522 under,2020,Great
6431,Nissan,2020 Nissan Kicks SR,21015 ,4.0,467 ,22990,Good Deal | $1069 under,2020,Good
6432,Kia,2019 Kia Sorento LX,24317 ,4.4,109 ,27500,Good Deal | $766 under,2019,Good
6433,Volkswagen,2020 Volkswagen Atlas 3.6L SE w/Technology,35044 ,4.1,1166 ,35300,Good Deal | $1488 under,2020,Good
