,Title,Mileage,Price,deal_status,Features,Rating,Rating-Count
39,2017 BMW 740 i," 88,919 mi.","$29,900","Great Deal | $3,812 under",keyless entry,3.2,(582 reviews)
40,2020 Nissan Sentra SV," 30,562 mi.","$24,999",Good Deal,Nan,4.5,(0 reviews)
41,2013 Acura ILX 2.0L," 102,739 mi.","$14,499",Great Deal | $644 under,"headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, Apple CarPlay/Android Auto, USB Port, Heated Seats, Heated Steering Wheel, Memory Seat, Sunroof/Moonroof, dynamic steering, collision warning system, parking assistance, Rear Cross Traffic Alert, parking distance sensors",4.6,(31 reviews)
42,2013 Volkswagen Jetta SE," 216,955 mi.","$6,592",Fair Deal,Nan,4.7,(720 reviews)
43,2012 Lexus LS 460 Base," 84,595 mi.","$24,498",Good Deal,"keyless entry, LED Headlights, Heated Seats, Rear Cross Traffic Alert, parking distance sensors, parking assistance, Blind Spot Monitor",4.8,"(1,204 reviews)"
44,2012 Lexus LS 460 Base," 84,595 mi.","$24,498",Good Deal,"Keyless Start, keyless entry, LED Headlights, USB Port, Cooled Seats, parking distance sensors, parking assistance, Rear Cross Traffic Alert, autonomous drive, Blind Spot Monitor, Automatic Emergency Braking, collision warning system",4.8,"(1,204 reviews)"
45,2022 Kia Carnival SX Prestige," 15,031 mi.","$54,000","Good Deal | $1,059 under",Nan,3.7,(702 reviews)
46,2005 Ford Ranger XLT," 48,405 mi.","$17,329",Fair Deal,"keyless entry, Keyless Start, LED Headlights, parking distance sensors, parking assistance",3.3,(47 reviews)
47,2013 Cadillac CTS-V Base," 65,210 mi.","$57,494",Fair Deal,Nan,4.9,(907 reviews)
48,2021 RAM 1500 Laramie," 30,079 mi.","$47,726",Good Deal,Nan,4.5,(12 reviews)
49,2017 Maserati GranTurismo Sport," 14,061 mi.","$59,499","Great Deal | $7,128 under",Nan,4.8,(42 reviews)
50,2007 Nissan Altima 3.5 SL," 164,000 mi.","$4,299",Home Delivery,Nan,4.4,(115 reviews)
51,2016 Lexus IS 200t Base," 88,823 mi.","$19,981","Great Deal | $1,728 under",Nan,3.2,(478 reviews)
52,2022 Tesla Model Y Long Range," 2,640 mi.","$69,990","Great Deal | $5,714 under","keyless entry, headlight control - auto highbeam, LED Headlights, collision warning system, trailer assist, parking assistance, parking distance sensors",4.0,(467 reviews)
53,2008 Volkswagen Jetta SEL," 81,000 mi.","$6,999","Great Deal | $1,184 under",Nan,4.5,(0 reviews)
54,2016 Toyota 4Runner SR5," 149,462 mi.","$22,995","Great Deal | $1,303 under",Nan,4.7,(15 reviews)
55,2014 Chevrolet Silverado 2500 LTZ," 127,744 mi.","$34,400","Great Deal | $6,603 under",keyless entry,3.1,(768 reviews)
