,Title,Mileage,Price,deal_status,Features,Rating,Rating-Count
681,2021 Mazda CX-30 Turbo, 989 mi.,"$30,359",Good Deal | $274 under,Nan,3.9,(107 reviews)
682,2021 Mazda CX-30 Turbo, 989 mi.,"$30,359",Good Deal | $274 under,Nan,3.9,(107 reviews)
683,2014 Toyota Camry Hybrid XLE," 95,348 mi.","$17,800",Fair Deal,Nan,5.0,"(4,330 reviews)"
684,2021 Kia Telluride S," 15,005 mi.","$41,405","Great Deal | $3,702 under",Nan,1.7,(53 reviews)
685,2021 Audi RS 6 Avant 4.0T quattro," 5,923 mi.","$129,553","Good Deal | $5,871 under","headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, USB Port, Automatic Emergency Braking, collision warning system, Rear Cross Traffic Alert, parking assistance, parking distance sensors",4.6,"(1,543 reviews)"
686,2019 Audi A5 2.0T Premium," 31,613 mi.","$31,500","Great Deal | $7,400 under",Nan,4.1,(971 reviews)
687,2015 BMW Z4 sDrive35i," 35,282 mi.","$34,900","Great Deal | $4,675 under",Nan,5.0,"(1,406 reviews)"
688,2006 Porsche Boxster S," 84,179 mi.","$19,498","Great Deal | $3,411 under","keyless entry, headlight control - auto highbeam, Keyless Start, Navigation System, USB Port, Apple CarPlay/Android Auto, Heated Seats, Memory Seat, dynamic steering, Automatic Emergency Braking, Blind Spot Monitor, collision warning system, Rear Cross Traffic Alert, parking distance sensors, parking assistance",5.0,"(6,638 reviews)"
689,2020 Ford Expedition Max King Ranch," 37,656 mi.","$61,988",Good Deal,"keyless entry, LED Headlights, Cooled Seats, parking assistance, parking distance sensors",4.1,"(1,296 reviews)"
690,2020 Ford Transit-250 Base, 844 mi.,"$62,475","Good Deal | $2,695 under","headlight control - auto highbeam, keyless entry, LED Headlights, Heated Seats, dynamic steering, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, autonomous drive, front cross traffic alert",3.0,(694 reviews)
691,2016 BMW M3 Base," 31,554 mi.","$54,995","Good Deal | $1,359 under","keyless entry, LED Headlights, driver monitor, Automatic Emergency Braking, collision warning system, parking distance sensors, parking assistance",3.4,(342 reviews)
692,2022 Chrysler Pacifica Limited," 24,610 mi.","$49,685",Fair Deal,"headlight control - auto highbeam, Remote Start, Adaptive Cruise Control, keyless entry, Keyless Start, LED Headlights, Bluetooth, USB Port, Cooled Seats, Backup Camera, parking assistance, Lane Departure Warning, parking distance sensors, Rear Cross Traffic Alert, traffic sign recognition, collision warning system, Blind Spot Monitor, Automatic Emergency Braking, driver monitor",4.0,(0 reviews)
693,2022 Acura MDX Advance," 6,932 mi.","$59,987","Good Deal | $2,631 under","keyless entry, Alloy Wheels",3.2,(72 reviews)
694,2021 Toyota Camry Hybrid SE," 21,564 mi.","$30,998","Good Deal | $1,232 under",Nan,4.8,(2 reviews)
695,2019 Lincoln MKC Standard," 46,624 mi.","$28,499",Fair Deal,Nan,4.3,(460 reviews)
696,2018 INFINITI QX60 Base," 52,167 mi.","$28,775",Great Deal,"keyless entry, headlight control - auto highbeam, Keyless Start, LED Headlights, Navigation System, Sunroof/Moonroof, Heated Seats, Cooled Seats, Backup Camera, parking distance sensors, Lane Departure Warning, collision warning system, parking assistance, Blind Spot Monitor",4.5,(20 reviews)
697,2021 Volkswagen Arteon 2.0T SEL R-Line," 24,739 mi.","$36,994","Good Deal | $1,320 under","keyless entry, headlight control - auto highbeam, Keyless Start, LED Headlights, Navigation System, Sunroof/Moonroof, Heated Seats, Cooled Seats, Backup Camera, parking distance sensors, Lane Departure Warning, collision warning system, parking assistance, Blind Spot Monitor",4.9,"(1,103 reviews)"
698,2020 Lincoln Navigator Reserve," 34,031 mi.","$71,999","Great Deal | $6,373 under",Nan,4.2,(10 reviews)
699,2021 Volvo XC90 T6 Momentum 6 Passenger," 19,644 mi.","$49,995","Great Deal | $5,085 under","keyless entry, LED Headlights, Heated Seats, Sunroof/Moonroof, dynamic steering",5.0,(0 reviews)
700,2011 BMW X3 xDrive28i," 90,199 mi.","$14,100",Good Deal,"keyless entry, Apple CarPlay/Android Auto",4.7,(0 reviews)
701,2017 Volkswagen Touareg V6 Wolfsburg Edition," 76,112 mi.","$25,800",Good Deal | $375 under,"Keyless Start, keyless entry, LED Headlights, Apple CarPlay/Android Auto, USB Port, parking assistance, dynamic steering, collision warning system, Rear Cross Traffic Alert, parking distance sensors",4.7,(88 reviews)
702,2016 Lexus CT 200h Base," 59,758 mi.","$24,995",Fair Deal,"keyless entry, parking distance sensors, parking assistance",4.3,(308 reviews)
703,2020 Dodge Durango Citadel," 47,962 mi.","$35,721",Good Deal | $454 under,"keyless entry, Heated Seats, parking distance sensors, parking assistance",4.9,(392 reviews)
704,2020 Dodge Durango Citadel," 47,962 mi.","$35,721",Good Deal | $454 under,"keyless entry, parking assistance, parking distance sensors",4.9,(392 reviews)
705,2013 Subaru Legacy 2.5i Limited," 86,167 mi.","$15,995",Fair Deal,Nan,4.8,(150 reviews)
706,2020 Cadillac CT5 Sport RWD," 9,848 mi.","$43,142","Great Deal | $5,926 under",Nan,4.5,(277 reviews)
707,2010 Nissan GT-R Premium," 66,227 mi.","$63,777","Great Deal | $7,456 under",keyless entry,4.4,(137 reviews)
708,2018 Audi SQ5 Premium Plus," 60,521 mi.","$32,250",Hot Car,Nan,4.6,(27 reviews)
709,2022 Porsche Cayenne E-Hybrid AWD," 11,088 mi.","$99,999","Good Deal | $2,098 under",Nan,2.7,(74 reviews)
710,2021 GMC Canyon AT4 w/Leather," 29,626 mi.","$36,999","Great Deal | $2,719 under",Nan,4.8,(66 reviews)
711,2021 Volvo S90 T6 Inscription," 15,018 mi.","$46,900","Great Deal | $4,948 under",Nan,4.7,(534 reviews)
712,2019 Audi Q3 2.0T S line Premium Plus," 23,733 mi.","$35,454","Great Deal | $5,646 under",Nan,5.0,(88 reviews)
713,2021 Ford Bronco Outer Banks Advanced," 9,726 mi.","$58,992","Good Deal | $2,523 under","Keyless Start, keyless entry, LED Headlights, USB Port, Heated Seats, dynamic steering, Automatic Emergency Braking, collision warning system",4.5,(23 reviews)
714,2004 Ford Expedition Eddie Bauer," 85,000 mi.","$10,999",Home Delivery,"keyless entry, LED Headlights",4.6,(65 reviews)
715,2017 GMC Acadia SLE-2," 75,881 mi.","$21,977","Great Deal | $2,364 under","keyless entry, Navigation System, Memory Seat",4.7,(342 reviews)
716,2021 Porsche Cayenne E-Hybrid AWD," 12,046 mi.","$104,900",Fair Deal,"headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, USB Port, Apple CarPlay/Android Auto, Heated Seats, Cooled Seats, Sunroof/Moonroof, dynamic steering, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Backup Camera, Lane Departure Warning, Rear Cross Traffic Alert, parking distance sensors, parking assistance",5.0,"(2,024 reviews)"
717,2021 Porsche Cayenne E-Hybrid AWD," 12,046 mi.","$104,900",Fair Deal,"headlight control - auto highbeam, keyless entry, parking distance sensors, parking assistance, Rear Cross Traffic Alert, collision warning system",5.0,"(2,024 reviews)"
718,2015 Ford Transit-350 XLT," 89,251 mi.","$34,999",Virtual Appointments,"Keyless Start, keyless entry, LED Headlights, USB Port, Heated Steering Wheel, parking assistance, parking distance sensors, Backup Camera, dynamic steering",4.0,(14 reviews)
719,2021 Land Rover Range Rover Velar S," 16,310 mi.","$68,977",Good Deal,"Remote Start, Adaptive Cruise Control, keyless entry, Keyless Start, LED Headlights, USB Port, Premium Sound System, Bluetooth, Cooled Seats, Leather Seats, Backup Camera, Lane Departure Warning, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Rear Cross Traffic Alert, parking distance sensors, parking assistance",5.0,"(1,128 reviews)"
720,2021 Chrysler Pacifica Touring-L," 74,856 mi.","$29,995",Home Delivery,Nan,4.4,(10 reviews)
721,2022 Toyota Avalon Hybrid XLE," 16,697 mi.","$37,862",Home Delivery,Nan,4.3,(402 reviews)
722,2017 Genesis G90 5.0 Ultimate," 41,639 mi.","$29,998","Great Deal | $5,861 under","keyless entry, Keyless Start, LED Headlights, USB Port, dynamic steering, parking distance sensors, parking assistance",2.3,"(1,293 reviews)"
723,2021 Mercedes-Benz GLE 580 AWD 4MATIC," 19,907 mi.","$73,896",Home Delivery,"keyless entry, Keyless Start, LED Headlights, USB Port",5.0,(636 reviews)
724,2020 Ford F-150 Lariat," 17,572 mi.","$53,890","Good Deal | $1,938 under",Nan,5.0,"(1,983 reviews)"
725,2020 Ford F-150 Lariat," 17,572 mi.","$53,890","Good Deal | $1,938 under","keyless entry, headlight control - auto highbeam, Keyless Start, LED Headlights, USB Port, Heated Seats, Cooled Seats, driver monitor, dynamic steering, Automatic Emergency Braking, Blind Spot Monitor, collision warning system, Rear Cross Traffic Alert, parking distance sensors, Lane Departure Warning, parking assistance",5.0,"(1,983 reviews)"
726,2016 Mercedes-Benz S-Class S 550 4MATIC," 50,361 mi.","$44,990",Great Deal,Nan,3.8,(175 reviews)
727,2022 Toyota Tundra SR5," 6,100 mi.","$57,999",Good Deal,keyless entry,5.0,(371 reviews)
728,2015 Chevrolet Silverado 2500 LTZ," 171,596 mi.","$34,889","Great Deal | $7,004 under","keyless entry, Keyless Start, LED Headlights, USB Port, Heated Seats, Cooled Seats, Sunroof/Moonroof, parking assistance, Automatic Emergency Braking, Lane Departure Warning, Backup Camera, collision warning system, parking distance sensors, Blind Spot Monitor",4.7,(488 reviews)
729,2015 Ford Transit Connect XLT," 30,187 mi.","$21,988",Good Deal | $559 under,"keyless entry, Heated Seats, Sunroof/Moonroof, Memory Seat, Backup Camera, dynamic steering",4.6,(475 reviews)
730,2021 Land Rover Range Rover HSE Westminster," 12,690 mi.","$97,492",Great Deal,Nan,4.6,(245 reviews)
731,2021 BMW M340 i," 20,006 mi.","$47,999","Great Deal | $8,101 under",Nan,4.6,(872 reviews)
732,2022 Lincoln Navigator Reserve," 6,778 mi.","$96,808",Good Deal,Nan,Nan,(27 reviews)
733,2020 INFINITI QX60 SIGNATURE EDITION," 20,514 mi.","$35,900","Good Deal | $1,282 under","keyless entry, LED Headlights, Premium Sound System, Heated Seats, Sunroof/Moonroof, Cooled Seats, collision warning system, Blind Spot Monitor, parking assistance, parking distance sensors, dynamic steering",4.4,(488 reviews)
734,2021 Honda Passport Touring," 17,669 mi.","$37,900",Good Deal,Nan,3.6,(391 reviews)
735,2022 Jeep Wagoneer Series III," 12,556 mi.","$75,107","Good Deal | $3,471 under",Nan,2.6,(35 reviews)
736,2020 Nissan Pathfinder SV," 62,630 mi.","$26,887","Great Deal | $2,194 under","keyless entry, LED Headlights, Memory Seat, Cooled Seats, Blind Spot Monitor, Automatic Emergency Braking, collision warning system, parking distance sensors, parking assistance",4.0,(50 reviews)
737,2022 Volvo S60 Recharge Plug-In Hybrid T8 Polestar Engineered Extended Range," 3,462 mi.","$61,000",Good Deal,"Tow Hitch, Leather Seats",5.0,"(2,203 reviews)"
738,2011 Volvo C30 T5 R-Design," 108,829 mi.","$8,490","Great Deal | $2,591 under",Nan,4.9,(24 reviews)
739,2021 Volvo XC60 T5 Inscription," 27,918 mi.","$44,986","Good Deal | $1,840 under","headlight control - auto highbeam, keyless entry, LED Headlights, Premium Sound System, Navigation System, dynamic steering, collision warning system, Blind Spot Monitor, parking distance sensors, Lane Departure Warning, Rear Cross Traffic Alert, parking assistance",2.9,(71 reviews)
740,2011 Ford Ranger XLT," 153,407 mi.","$9,850","Great Deal | $2,360 under","headlight control - auto highbeam, Remote Start, keyless entry, Keyless Start, Alloy Wheels, LED Headlights, Heated Seats, dynamic steering, driver monitor, Automatic Emergency Braking, collision warning system, Lane Departure Warning, parking distance sensors, parking assistance, Rear Cross Traffic Alert",3.5,(34 reviews)
741,2020 Acura ILX Base," 29,589 mi.","$23,000",Good Deal | $144 under,"keyless entry, Brake Assist, parking assistance, parking distance sensors",3.5,(55 reviews)
742,2013 Scion FR-S ," 66,218 mi.","$18,995",Good Deal,"keyless entry, dynamic steering",4.0,(29 reviews)
743,2020 RAM 2500 Laramie," 24,873 mi.","$67,995",Good Deal | $921 under,"keyless entry, Premium Sound System, Cooled Seats, Memory Seat, Sunroof/Moonroof, Heated Seats, Blind Spot Monitor, Automatic Emergency Braking, collision warning system, parking distance sensors, parking assistance",5.0,"(2,135 reviews)"
744,2019 GMC Terrain SLE," 21,641 mi.","$26,474",Good Deal,"keyless entry, Premium Sound System, Cooled Seats, Memory Seat, Sunroof/Moonroof, Heated Seats, Blind Spot Monitor, Automatic Emergency Braking, collision warning system, parking distance sensors, parking assistance",4.9,"(2,949 reviews)"
745,2019 GMC Terrain SLE," 21,641 mi.","$26,474",Good Deal,Nan,4.9,"(2,949 reviews)"
746,2017 Chevrolet Suburban LT," 91,952 mi.","$32,785","Great Deal | $3,469 under",Nan,4.5,(10 reviews)
747,2020 BMW 440 Gran Coupe i," 17,076 mi.","$44,900","Good Deal | $1,985 under","Keyless Start, keyless entry, LED Headlights, Blind Spot Monitor, collision warning system, Automatic Emergency Braking, Rear Cross Traffic Alert, parking distance sensors, parking assistance",4.0,(631 reviews)
748,2018 Mercedes-Benz GLS 550 Base 4MATIC," 41,106 mi.","$51,900",Great Deal,Nan,4.0,(631 reviews)
749,2020 Volvo XC60 T6 Momentum," 67,899 mi.","$32,499",Good Deal,"headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, USB Port, Cooled Seats, driver monitor, Automatic Emergency Braking, collision warning system, Rear Cross Traffic Alert, parking distance sensors, parking assistance",4.9,(53 reviews)
750,2018 Lincoln MKZ Premiere," 64,143 mi.","$22,874",Good Deal,"keyless entry, Keyless Start, LED Headlights, Tow Hitch, USB Port, Heated Seats, Third Row Seating, Blind Spot Monitor, collision warning system, parking assistance, parking distance sensors, Automatic Emergency Braking, dynamic steering, driver monitor",2.8,(20 reviews)
751,2022 Chevrolet Corvette Stingray w/3LT, 345 mi.,"$115,856",Fair Deal,"headlight control - auto highbeam, keyless entry, LED Headlights, Navigation System, Cooled Seats, parking assistance, parking distance sensors, trailer assist, Rear Cross Traffic Alert, driver monitor, collision warning system",4.7,(113 reviews)
752,2022 Toyota RAV4 Hybrid XLE," 7,800 mi.","$39,997",Good Deal,"headlight control - auto highbeam, keyless entry, LED Headlights, Navigation System, Cooled Seats, parking assistance, parking distance sensors, trailer assist, Rear Cross Traffic Alert, driver monitor, collision warning system",5.0,"(1,430 reviews)"
753,2007 BMW Z4 M Roadster," 33,181 mi.","$32,988",Great Deal,"headlight control - auto highbeam, keyless entry, LED Headlights, USB Port, Heated Seats, Heated Steering Wheel, Cooled Seats, parking distance sensors, parking assistance, night vision, traffic sign recognition, Automatic Emergency Braking, autonomous drive, Lane Departure Warning, collision warning system, driver monitor",3.6,(31 reviews)
754,2019 Lincoln Nautilus Select," 21,417 mi.","$34,999","Great Deal | $5,110 under","headlight control - auto highbeam, keyless entry, LED Headlights, Heated Steering Wheel, Automatic Emergency Braking, collision warning system, traffic sign recognition, autonomous drive, Rear Cross Traffic Alert, driver monitor, parking distance sensors, parking assistance",4.2,(173 reviews)
755,2019 Lincoln Nautilus Select," 21,417 mi.","$34,999","Great Deal | $5,110 under","Cooled Seats, Sunroof/Moonroof, collision warning system, parking distance sensors, parking assistance, Lane Departure Warning",4.2,(173 reviews)
756,2020 Alfa Romeo Stelvio ," 4,479 mi.","$34,990","Great Deal | $6,289 under","keyless entry, Bluetooth",4.9,(947 reviews)
757,2016 Chevrolet Impala Limited LTZ," 61,070 mi.","$17,182",Good Deal,"headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, Apple CarPlay/Android Auto, USB Port, Cooled Seats, Sunroof/Moonroof, traffic sign recognition, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Rear Cross Traffic Alert, parking distance sensors, Lane Departure Warning, parking assistance",4.7,(69 reviews)
758,2021 Genesis G90 5.0 Ultimate," 14,192 mi.","$65,689",Good Deal,"headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, USB Port, Apple CarPlay/Android Auto, Sunroof/Moonroof, dynamic steering, Automatic Emergency Braking, collision warning system, Backup Camera, Lane Departure Warning",4.6,(778 reviews)
759,2019 Kia Sorento LX," 84,459 mi.","$24,095",Good Deal,"headlight control - auto highbeam, Remote Start, Adaptive Cruise Control, keyless entry, Keyless Start, Alloy Wheels, LED Headlights, Premium Sound System, USB Port, Bluetooth, Heated Seats, Cooled Seats, Third Row Seating, Leather Seats, driver monitor, dynamic steering, front cross traffic alert, Automatic Emergency Braking, autonomous drive, traffic sign recognition, collision warning system, Blind Spot Monitor, Lane Departure Warning, Rear Cross Traffic Alert, trailer assist, parking distance sensors, parking assistance",4.7,(7 reviews)
760,2018 Alfa Romeo Giulia Quadrifoglio," 25,404 mi.","$52,990","Great Deal | $6,633 under","Keyless Start, keyless entry, headlight control - auto highbeam, LED Headlights, USB Port, Heated Seats, Sunroof/Moonroof, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Backup Camera, parking assistance, Lane Departure Warning, parking distance sensors, Rear Cross Traffic Alert",4.4,(963 reviews)
761,2019 Mercedes-Benz E-Class E 300," 38,097 mi.","$37,986","Great Deal | $6,438 under","headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, USB Port, collision warning system, Blind Spot Monitor, Rear Cross Traffic Alert, parking distance sensors, parking assistance",4.8,(338 reviews)
762,2022 INFINITI QX50 SENSORY," 2,283 mi.","$47,995",Good Deal,Nan,5.0,"(2,583 reviews)"
763,2019 Tesla Model 3 Standard Range," 32,213 mi.","$39,955",Good Deal,Nan,4.0,(334 reviews)
764,2019 Chevrolet Traverse LT Cloth," 22,208 mi.","$34,995","Great Deal | $1,828 under","headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, USB Port, Lane Departure Warning, traffic sign recognition, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, autonomous drive, dynamic steering, Rear Cross Traffic Alert, parking distance sensors, parking assistance",4.7,(30 reviews)
765,2017 BMW 530 i," 68,334 mi.","$27,498","Good Deal | $1,225 under",Nan,4.7,"(1,234 reviews)"
766,2020 Toyota Avalon TRD," 37,072 mi.","$38,500",Good Deal,"Keyless Start, keyless entry, headlight control - auto highbeam, LED Headlights, USB Port, Cooled Seats, dynamic steering, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Lane Departure Warning, parking distance sensors, traffic sign recognition, parking assistance, Rear Cross Traffic Alert",5.0,(520 reviews)
767,2017 Jaguar F-TYPE R," 37,518 mi.","$60,990","Great Deal | $5,223 under",Nan,4.7,(60 reviews)
768,2013 Toyota Camry SE," 147,127 mi.","$11,995",Good Deal,"keyless entry, collision warning system",4.9,(800 reviews)
769,2013 Nissan Pathfinder S," 174,740 mi.","$6,192",Home Delivery,"keyless entry, Keyless Start, LED Headlights",4.6,(568 reviews)
770,2020 Ford Expedition Max XLT," 34,935 mi.","$53,912","Good Deal | $1,958 under","keyless entry, LED Headlights, parking assistance, parking distance sensors",3.0,(694 reviews)
771,2021 Jeep Grand Cherokee Limited," 22,781 mi.","$46,577",Fair Deal,"keyless entry, LED Headlights, Navigation System, Heated Seats",5.0,(87 reviews)
772,2018 Ford Expedition Platinum," 68,573 mi.","$47,895","Good Deal | $1,731 under","keyless entry, LED Headlights, Navigation System, Heated Seats",4.1,(477 reviews)
773,2018 Ford Expedition Platinum," 68,573 mi.","$47,895","Good Deal | $1,731 under","headlight control - auto highbeam, keyless entry, Rear Seat Entertainment, USB Port, Sunroof/Moonroof, Heated Seats, Heated Steering Wheel, Blind Spot Monitor, Rear Cross Traffic Alert, parking distance sensors, collision warning system, parking assistance",4.1,(477 reviews)
774,2022 Lucid Air Grand Touring," 1,223 mi.","$135,555",Home Delivery,"keyless entry, Keyless Start, LED Headlights, USB Port, Automatic Emergency Braking, collision warning system, parking distance sensors, parking assistance, Lane Departure Warning",5.0,"(2,041 reviews)"
775,2022 Kia Rio LX," 11,654 mi.","$21,000",Good Deal,"Keyless Start, keyless entry, headlight control - auto highbeam, LED Headlights, Tow Hitch, USB Port, Heated Seats, Cooled Seats, Lane Departure Warning, autonomous drive, Rear Cross Traffic Alert, traffic sign recognition, dynamic steering, driver monitor, Blind Spot Monitor, parking assistance, Automatic Emergency Braking, collision warning system, parking distance sensors",4.6,(300 reviews)
776,2022 Toyota Sienna XSE 7 Passenger," 19,415 mi.","$55,995",Good Deal,"headlight control - auto highbeam, keyless entry, LED Headlights, USB Port, collision warning system, Automatic Emergency Braking, Lane Departure Warning, dynamic steering, driver monitor, parking assistance, parking distance sensors, traffic sign recognition",4.6,(123 reviews)
777,2018 Hyundai Kona Limited," 112,044 mi.","$18,989","Great Deal | $1,388 under",Nan,3.9,(678 reviews)
778,2017 BMW 530 i," 81,400 mi.","$22,774",Great Deal,"Keyless Start, keyless entry, Remote Start, Alloy Wheels, LED Headlights, USB Port, Premium Sound System, Navigation System, Bluetooth, Heated Steering Wheel, Heated Seats, Memory Seat, Cooled Seats, parking distance sensors, Blind Spot Monitor, parking assistance, Backup Camera, Rear Cross Traffic Alert, Stability Control",3.1,(53 reviews)
779,2015 Jaguar F-TYPE R," 71,437 mi.","$44,950",Fair Deal,"Adaptive Cruise Control, headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, Bluetooth, USB Port, Heated Seats, Sunroof/Moonroof, Heated Steering Wheel, Automatic Emergency Braking, dynamic steering, traffic sign recognition, collision warning system, Blind Spot Monitor, autonomous drive, Rear Cross Traffic Alert, Lane Departure Warning",4.8,(92 reviews)
780,1992 Lexus SC 300 ," 60,738 mi.","$20,217",Home Delivery,"keyless entry, LED Headlights",4.9,(526 reviews)
781,2009 GMC Sierra 1500 SLT," 90,000 mi.","$22,995",Good Deal,"keyless entry, headlight control - auto highbeam, Keyless Start, LED Headlights, USB Port, Apple CarPlay/Android Auto, dynamic steering, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Rear Cross Traffic Alert, Backup Camera, Lane Departure Warning",4.3,(42 reviews)
782,2017 Subaru Legacy 2.5i Premium," 70,706 mi.","$19,995",Good Deal,"keyless entry, headlight control - auto highbeam, Keyless Start, LED Headlights, USB Port, Apple CarPlay/Android Auto, dynamic steering, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Rear Cross Traffic Alert, Backup Camera, Lane Departure Warning",2.4,(153 reviews)
783,2020 Volkswagen Tiguan 2.0T SEL," 18,260 mi.","$30,827",Good Deal | $682 under,"keyless entry, LED Headlights, Navigation System, Apple CarPlay/Android Auto, Automatic Emergency Braking, parking distance sensors, collision warning system, parking assistance",4.7,(1 review)
784,2005 INFINITI G35 Base," 86,249 mi.","$12,900",Fair Deal,Nan,4.3,(22 reviews)
785,2019 Land Rover Range Rover Sport Supercharged Dynamic," 53,425 mi.","$68,591",,"headlight control - auto highbeam, keyless entry, Apple CarPlay/Android Auto, Rear Seat Entertainment, USB Port, Cooled Seats, driver monitor, dynamic steering, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Backup Camera, traffic sign recognition, parking distance sensors, Rear Cross Traffic Alert, Lane Departure Warning, parking assistance",4.5,(32 reviews)
786,2021 Mercedes-Benz C-Class C 300," 2,618 mi.","$39,992","Great Deal | $6,697 under",Nan,4.2,(74 reviews)
787,2015 Lamborghini Huracan LP610-4," 14,371 mi.","$229,995",,"keyless entry, Keyless Start, LED Headlights, USB Port, Apple CarPlay/Android Auto, Heated Seats, dynamic steering, Automatic Emergency Braking, collision warning system, parking distance sensors, Lane Departure Warning, parking assistance",5.0,(161 reviews)
788,2017 Ford Focus RS Base," 43,436 mi.","$36,985","Good Deal | $1,384 under","Keyless Start, keyless entry, LED Headlights, Heated Steering Wheel, collision warning system, Automatic Emergency Braking, driver monitor, dynamic steering",4.6,(23 reviews)
789,2020 Chrysler 300 S," 61,517 mi.","$27,998",Good Deal,"Adaptive Cruise Control, keyless entry, headlight control - auto highbeam, Keyless Start, Remote Start, LED Headlights, Bluetooth, Apple CarPlay/Android Auto, USB Port, Cooled Seats, Leather Seats, Backup Camera, traffic sign recognition, dynamic steering, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, autonomous drive, Rear Cross Traffic Alert, parking distance sensors, Lane Departure Warning, parking assistance",4.8,(4 reviews)
790,2008 Lexus LS 460 Base," 62,546 mi.","$15,900","Great Deal | $4,794 under",Nan,4.9,"(2,547 reviews)"
791,2020 Buick Regal Sportback GS," 13,645 mi.","$35,995",Good Deal,"keyless entry, Keyless Start, LED Headlights, USB Port, Blind Spot Monitor, parking distance sensors, parking assistance",3.9,(338 reviews)
792,2020 Cadillac Escalade Luxury," 27,721 mi.","$61,995","Great Deal | $9,282 under","keyless entry, Keyless Start, LED Headlights, USB Port, Sunroof/Moonroof, parking distance sensors, Backup Camera, Automatic Emergency Braking, Blind Spot Monitor, Lane Departure Warning, traffic sign recognition, parking assistance, dynamic steering, collision warning system",5.0,(44 reviews)
793,2020 Cadillac Escalade Luxury," 27,721 mi.","$61,995","Great Deal | $9,282 under",Nan,5.0,(44 reviews)
794,2021 Honda CR-V Hybrid EX," 16,828 mi.","$36,699",Good Deal,"headlight control - auto highbeam, keyless entry, LED Headlights, USB Port, Heated Seats, Backup Camera, Rear Cross Traffic Alert, Blind Spot Monitor, parking assistance, parking distance sensors",4.8,(29 reviews)
795,2003 Dodge Ram 1500 SLT," 130,032 mi.","$6,995",Great Deal | $464 under,Nan,4.4,(11 reviews)
796,2019 Buick Enclave Essence," 69,484 mi.","$29,432",Good Deal | $406 under,keyless entry,3.0,(80 reviews)
797,2017 Volkswagen Touareg V6 Wolfsburg Edition," 52,477 mi.","$24,800","Great Deal | $2,738 under","headlight control - auto highbeam, keyless entry, Keyless Start, Navigation System, Cooled Seats, Heated Seats, Sunroof/Moonroof, dynamic steering, driver monitor, Automatic Emergency Braking, Blind Spot Monitor, collision warning system, Rear Cross Traffic Alert, parking distance sensors, parking assistance",4.6,(22 reviews)
798,2016 BMW X4 xDrive35i," 90,544 mi.","$26,499",Good Deal,"headlight control - auto highbeam, keyless entry, dynamic steering, Automatic Emergency Braking, collision warning system, Rear Cross Traffic Alert, parking distance sensors, parking assistance",4.9,(0 reviews)
799,2011 Jeep Wrangler Unlimited Sahara," 192,353 mi.","$15,866","Great Deal | $1,303 under","keyless entry, Keyless Start, headlight control - auto highbeam, LED Headlights, Rear Seat Entertainment, USB Port, Cooled Seats, Automatic Emergency Braking, collision warning system, dynamic steering, Blind Spot Monitor, trailer assist, parking distance sensors, Rear Cross Traffic Alert, parking assistance",4.2,(269 reviews)
800,2015 Toyota Tundra SR5," 74,999 mi.","$26,789","Great Deal | $3,179 under","keyless entry, Keyless Start, headlight control - auto highbeam, LED Headlights, Rear Seat Entertainment, USB Port, Cooled Seats, Automatic Emergency Braking, collision warning system, dynamic steering, Blind Spot Monitor, trailer assist, parking distance sensors, Rear Cross Traffic Alert, parking assistance",3.7,(181 reviews)
801,2021 Hyundai Elantra Limited," 4,957 mi.","$26,996",Good Deal,"keyless entry, Keyless Start, LED Headlights, USB Port, Sunroof/Moonroof, Heated Seats, Cooled Seats, Memory Seat, front cross traffic alert, autonomous drive, traffic sign recognition, collision warning system, Automatic Emergency Braking, driver monitor, dynamic steering, Rear Cross Traffic Alert, parking distance sensors, parking assistance",4.8,(536 reviews)
802,2021 Mercedes-Benz S-Class S 580 4MATIC," 12,339 mi.","$100,000",Home Delivery,"keyless entry, LED Headlights, collision warning system, Automatic Emergency Braking",4.8,(379 reviews)
803,2021 Genesis G90 5.0 Ultimate," 10,201 mi.","$72,990","Good Deal | $2,097 under",Nan,5.0,(362 reviews)
804,2021 Toyota RAV4 Prime SE," 12,221 mi.","$51,188",Fair Deal,"keyless entry, LED Headlights, dynamic steering, Blind Spot Monitor",5.0,"(3,391 reviews)"
