,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details
2107,859,4.6,1188,2022,38890.0,Volkswagen,Great, Volkswagen Atlas 3.6L SE w/Technology
2108,35894,1.8,198,2020,39996.0,BMW,Good, BMW 430 i
2109,6075,4.2,794,2022,78900.0,GMC,Good, GMC Sierra 2500 Denali
2110,22686,3.1,966,2020,41593.0,Toyota,Good, Toyota Tacoma TRD Off Road
2111,27263,4.7,1473,2021,39878.0,Kia,Good,1 Kia Telluride S
2112,26582,4.6,948,2019,30572.0,Toyota,Great,19 Toyota Avalon Hybrid XLE
2113,21460,4.3,6,2021,28988.0,Subaru,Great,1 Subaru Crosstrek Sport
2114,6220,2.8,208,2020,39988.0,Volvo,Good, Volvo S60 T6 R-Design
2116,13771,4.9,2744,2022,44975.0,Volkswagen,Unknown, Volkswagen Atlas 2.0T SEL
2117,40609,4.4,927,2020,26995.0,Honda,Good, Honda Civic Si Base
2118,51588,4.0,68,2017,41412.0,GMC,Great,17 GMC Yukon SLT
2119,16294,4.7,651,2019,31995.0,Volkswagen,Fair,19 Volkswagen Golf Alltrack TSI S
2120,46287,4.5,1476,2018,32593.0,Mercedes-Benz,Great,18 Mercedes-Benz E-Class E 3
2121,27974,4.9,4094,2020,41994.0,Jeep,Good, Jeep Gladiator Sport
2122,14251,4.6,209,2022,57000.0,Jeep,Good, Jeep Grand Cherokee L Overland
2123,4908,4.6,161,2021,219998.0,Bentley,Unknown,1 Bentley Flying Spur V8
2124,927,4.4,563,2022,58780.0,Ford,Unknown, Ford Bronco BADLANDS
2125,37200,4.6,1068,2021,84998.0,BMW,Good,1 BMW X6 M50i
2126,61118,5.0,855,2020,26995.0,Dodge,Good, Dodge Charger SXT
2127,19173,4.3,158,2021,51552.0,Volvo,Great,1 Volvo S60 Recharge Plug-In Hybrid T8 Inscription
2128,24781,4.4,399,2020,37286.0,RAM,Great, RAM 1500 Big Horn
2129,4911,4.8,421,2022,115990.0,Porsche,Good, Porsche Taycan Base
2130,14735,3.0,141,2021,46900.0,Cadillac,Great,1 Cadillac XT6 Luxury FWD
2131,7818,4.5,284,2022,53500.0,Acura,Good, Acura MDX Technology
