,Price,Year,Rating,Mileage,Rating-Count,Name,Status,model_details
0,79990.0,2018,4.7,7399,153,Porsche,Good,Porsche 718 Cayman S
1,46498.0,2021,3.4,18154,1123,Honda,Good,Honda Civic Type R Touring
2,23899.0,2019,4.9,26995,53,Volkswagen,Great,9 Volkswagen Passat 2.0T SE R-Line
3,26500.0,2022,2.3,6777,63,Volkswagen,Unknown,Volkswagen Jetta 1.5T Sport
4,37473.0,2022,3.8,1109,119,INFINITI,Unknown,INFINITI QX50 LUXE
5,114288.0,2021,4.7,18499,257,Cadillac,Great,Cadillac Escalade Sport Platinum
6,41990.0,2022,4.5,10145,100,Subaru,Good,Subaru Ascent Onyx Edition
7,105490.0,2019,4.9,19074,568,Porsche,Unknown,9 Porsche Panamera GTS
8,63998.0,2022,2.5,7311,441,BMW,Great,BMW M440 Gran Coupe i xDrive
9,28900.0,2021,5.0,29335,312,Volkswagen,Great,Volkswagen Golf GTI 2.0T S
11,42412.0,2021,4.8,22946,1147,Volvo,Good,Volvo XC60 T5 Momentum
12,40299.0,2022,4.9,13489,7262,Kia,Good,Kia Carnival LXS
13,34225.0,2017,4.6,61526,2505,Toyota,Great,7 Toyota Tundra SR5
14,50977.0,2018,4.9,40302,3307,Toyota,Good,Toyota Sequoia Limited
15,26796.0,2019,3.6,64183,1173,Toyota,Great,9 Toyota Avalon XLE
16,42762.0,2020,4.3,20162,498,Cadillac,Fair,Cadillac CT4 V-Series
17,42846.0,2020,4.3,44476,291,Volvo,Good,Volvo XC60 T6 Inscription
18,47962.0,2022,4.1,1622,959,BMW,Good,BMW X3 sDrive30i
19,23456.0,2019,3.6,17943,514,Buick,Great,9 Buick Regal Sportback Preferred II
21,37742.0,2020,4.3,48681,961,Toyota,Fair,Toyota Sienna LE
22,61000.0,2022,4.9,3462,2206,Volvo,Fair,Volvo S60 Recharge Plug-In Hybrid T8 Polestar Engineered Extended Range
23,29450.0,2019,4.8,36350,879,Subaru,Great,9 Subaru Forester Sport
24,27951.0,2017,4.7,96942,2368,Ford,Great,7 Ford Expedition EL XLT
25,32999.0,2019,4.4,25862,122,Nissan,Good,9 Nissan Murano SL
26,38103.0,2019,4.9,18702,1086,GMC,Good,9 GMC Savana 2500 Work Van
27,30703.0,2022,3.8,10308,579,Acura,Good,Acura ILX Premium & A-SPEC Packages
28,41900.0,2022,4.9,10455,2206,Volvo,Great,Volvo XC60 B5 R-Design
29,47200.0,2021,4.8,14860,610,Honda,Good,Honda Civic Type R
30,28319.0,2020,4.8,26324,2700,Honda,Good,Honda HR-V Touring
31,45785.0,2022,4.4,7843,8054,Toyota,Good,Toyota Avalon Hybrid Limited
32,131900.0,2022,3.3,18202,103,Porsche,Unknown,Porsche Taycan Cross Turismo 4S
33,38998.0,2021,4.7,15140,966,Volkswagen,Great,Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology
34,35765.0,2021,4.8,15259,8608,Toyota,Good,Toyota Camry Hybrid XSE
35,32093.0,2020,4.2,44704,632,Dodge,Great,Dodge Durango GT
36,62998.0,2020,2.3,27607,89,Toyota,Good,Toyota Sequoia Platinum
37,38995.0,2021,4.8,33597,175,Toyota,Good,Toyota Venza XLE
40,61896.0,2021,4.5,24226,843,BMW,Good,BMW X4 M40i
42,118999.0,2021,4.3,19813,86,Porsche,Great,Porsche Cayenne GTS
47,34500.0,2019,4.6,17935,394,Honda,Great,9 Honda Ridgeline RTL
48,28987.0,2018,4.7,21118,1389,Cadillac,Good,Cadillac ATS 2.0L Turbo Luxury
49,55053.0,2017,4.5,72988,2606,Toyota,Great,7 Toyota Land Cruiser V
50,31000.0,2022,4.9,10888,1518,Ford,Good,Ford Bronco Sport Base
51,53484.0,2021,4.9,17934,1631,Volvo,Great,Volvo XC90 T6 Momentum 7 Passenger
52,42990.0,2021,4.8,12143,1195,Kia,Great,Kia Stinger GT
53,29377.0,2020,4.6,25606,242,Subaru,Great,Subaru Outback Premium
54,31911.0,2021,3.8,31264,106,Buick,Good,Buick Envision Preferred
55,56577.0,2021,4.8,7995,2019,Toyota,Good,Toyota RAV4 Prime XSE
56,65990.0,2020,4.0,39639,537,BMW,Fair,BMW 745e 745e xDrive iPerformance
57,29988.0,2022,4.7,13160,406,Kia,Good,Kia Seltos SX
58,36981.0,2020,4.4,19343,306,Cadillac,Great,Cadillac CT5 Premium Luxury RWD
59,47495.0,2018,4.2,62899,600,Toyota,Good,Toyota Sequoia Limited
60,91695.0,2021,4.8,17683,3304,BMW,Unknown,BMW X7 M50i
61,23998.0,2018,4.3,96356,453,Nissan,Good,Nissan Maxima Platinum
62,32121.0,2023,1.0,1850,12,Toyota,Unknown,3 Toyota Camry SE Nightsh
63,41997.0,2022,2.3,800,135,Dodge,Good,Dodge Durango SXT
64,38900.0,2019,4.0,27723,50,GMC,Great,9 GMC Canyon Denali
65,33633.0,2020,4.4,33980,9,Cadillac,Great,Cadillac XT5 Luxury
71,39977.0,2019,4.5,28598,541,RAM,Good,9 RAM ProMaster 1500 Low Roof
72,38699.0,2021,5.0,6857,66,Acura,Great,Acura RDX Base
73,42561.0,2022,3.8,7204,656,Honda,Good,Honda Ridgeline RTL-E
74,42495.0,2022,4.9,13108,2255,Cadillac,Unknown,Cadillac XT6 Luxury FWD
75,31899.0,2018,2.0,48821,134,Acura,Great,Acura RLX Technology Package
76,58422.0,2021,4.3,30702,34,Volvo,Fair,Volvo S60 Recharge Plug-In Hybrid T8 Polestar
77,42299.0,2023,4.3,950,1479,Jeep,Unknown,3 Jeep Grand Cherokee Altitude
78,39999.0,2022,4.3,13786,122,Honda,Good,Honda Passport EX-L
79,108782.0,2023,4.7,3106,56,Cadillac,Unknown,3 Cadillac Escalade ESV Premium Luxury
80,34903.0,2019,3.6,37021,279,INFINITI,Great,9 INFINITI Q70L 3.7 LUXE
82,66145.0,2018,4.7,18259,257,Cadillac,Good,Cadillac Escalade ESV Premium Luxury
83,31194.0,2023,4.5,825,190,Toyota,Unknown,3 Toyota Camry SE
84,39995.0,2022,4.8,9651,548,BMW,Fair,BMW 230 i
85,22240.0,2021,4.4,8571,179,Volkswagen,Fair,Volkswagen Jetta 1.4T S
86,44590.0,2020,2.6,18141,210,Ford,Good,Ford F-150 XLT
87,41990.0,2022,2.7,9900,124,Nissan,Good,Nissan Frontier PRO-4X
88,76672.0,2021,4.7,21618,1045,Porsche,Good,Porsche Macan GTS
89,46498.0,2019,4.7,34244,1234,BMW,Good,9 BMW Z4 sDrive30i
90,25299.0,2019,4.5,46341,1150,Kia,Good,9 Kia Cadenza Premium
91,72821.0,2022,3.1,754,440,Toyota,Unknown,Toyota Tundra Hybrid Limited
92,374990.0,2021,3.9,2422,281,Rolls-Royce,Unknown,Rolls-Royce Ghost
93,35990.0,2022,4.7,3490,292,Chevrolet,Great,Chevrolet Colorado LT
94,33111.0,2023,3.9,2000,266,Kia,Unknown,3 Kia Sportage Hybrid LX
95,58225.0,2022,1.3,9650,13,Chevrolet,Unknown,Chevrolet Suburban LS
96,38987.0,2020,4.8,13978,832,INFINITI,Great,INFINITI QX60 Luxe
97,22405.0,2018,4.8,42071,2923,Honda,Good,Honda HR-V EX
98,51974.0,2020,4.5,49998,745,Ford,Good,Ford Expedition Limited
99,48499.0,2021,3.5,12062,525,Ford,Good,Ford Expedition XL
100,31826.0,2020,4.8,52527,1498,Acura,Good,Acura TLX V6 w/Technology Package
101,61500.0,2021,4.8,22114,5748,Volvo,Good,Volvo XC60 Recharge Plug-In Hybrid T8 Polestar
102,49916.0,2022,4.4,1482,8054,Toyota,Fair,Toyota Sienna LE
103,38900.0,2020,3.7,24178,125,BMW,Good,BMW X2 xDrive28i
104,36991.0,2023,4.6,2761,2828,Toyota,Unknown,3 Toyota Camry XSE
105,37998.0,2019,4.3,36164,961,Toyota,Good,9 Toyota Highlander XLE
110,24995.0,2019,3.8,77297,48,Nissan,Good,9 Nissan Maxima 3.5 SL
115,30586.0,2016,4.4,64426,313,Volkswagen,Great,6 Volkswagen Touareg TDI Lux
117,44000.0,2020,4.7,28982,126,BMW,Good,BMW X4 xDrive30i
118,29993.0,2021,4.7,12025,46,Subaru,Good,Subaru Legacy Premium
119,45997.0,2022,4.0,8183,352,GMC,Great,GMC Acadia AT4
120,25000.0,2020,3.9,12971,342,Subaru,Good,Subaru Impreza Sport
121,34990.0,2019,4.8,33257,527,Volvo,Great,9 Volvo XC40 T5 Momentum
122,25046.0,2021,4.5,47496,565,Chevrolet,Good,Chevrolet Equinox LS
123,125000.0,2021,4.8,5346,700,Toyota,Unknown,Toyota Land Cruiser Heritage Edition
124,21748.0,2021,4.4,33686,179,Volkswagen,Great,Volkswagen Jetta 1.4T S
125,34990.0,2021,4.8,3815,789,Volkswagen,Good,Volkswagen Arteon 2.0T SE
126,41607.0,2022,4.3,240,961,Toyota,Fair,Toyota Prius Prime LE
129,49994.0,2022,4.8,2979,70,BMW,Good,BMW X3 xDrive30i
130,43998.0,2021,4.6,9662,245,Volvo,Good,Volvo XC40 T5 R-Design
134,46490.0,2022,4.8,9152,1045,Volkswagen,Good,Volkswagen Atlas 2.0T SEL
135,139777.0,2017,4.7,15017,446,Acura,Fair,7 Acura NSX Base
136,48917.0,2023,3.9,1401,222,Honda,Unknown,3 Honda Odyssey Sport
137,27412.0,2019,4.8,25390,599,Honda,Great,9 Honda Passport Sport
138,41999.0,2022,2.1,1135,174,RAM,Good,RAM 1500 Classic SLT
139,219998.0,2021,4.6,4908,162,Bentley,Unknown,Bentley Flying Spur V
140,47700.0,2019,4.4,31549,294,BMW,Good,9 BMW X4 xDrive30i
142,29995.0,2018,4.4,42359,2340,Toyota,Good,Toyota Prius Prime Plus
143,32500.0,2021,5.0,24981,312,Volkswagen,Great,Volkswagen Golf GTI 2.0T SE
144,20495.0,2019,4.6,36688,681,Kia,Great,9 Kia Optima S
145,35497.0,2022,3.2,14103,915,Nissan,Great,Nissan Maxima SR
146,64990.0,2022,4.8,10020,1187,Ford,Good,Ford Expedition Limited
147,43490.0,2021,2.4,5628,442,Toyota,Great,Toyota Tacoma Limited
148,44977.0,2022,4.8,5757,952,Honda,Good,Honda Passport Elite
149,38990.0,2022,2.9,10120,71,BMW,Good,BMW X2 xDrive28i
150,48999.0,2022,4.5,23024,854,Kia,Great,Kia Carnival SX
151,72988.0,2022,4.8,3897,600,BMW,Great,BMW X3 M AWD
152,30000.0,2022,4.9,10960,3633,Toyota,Good,Toyota Corolla Hybrid LE
153,39980.0,2020,4.6,28783,1688,BMW,Great,BMW M235 Gran Coupe i xDrive
155,82871.0,2021,4.8,13227,1241,BMW,Good,BMW 840 Gran Coupe i
157,27995.0,2021,4.8,10810,618,Acura,Great,Acura ILX Premium Package
158,48989.0,2014,4.9,30306,336,Porsche,Good,4 Porsche Cayman Base
162,56900.0,2021,4.0,19372,316,BMW,Good,BMW M340 i xDrive
164,65490.0,2020,4.9,34673,1499,BMW,Great,BMW 740 i xDrive
165,38140.0,2018,4.9,40728,1499,BMW,Good,BMW 530e xDrive iPerformance
166,34750.0,2020,2.7,16279,36,Kia,Great,Kia Stinger GT-Line
168,47598.0,2020,4.0,22036,452,Nissan,Good,Nissan Titan XD Platinum Reserve
169,38980.0,2013,3.5,51022,150,Porsche,Great,3 Porsche Panamera Platinum Edition
170,32499.0,2019,4.4,35011,1064,Nissan,Great,9 Nissan Titan SV
174,42488.0,2021,3.3,18133,16,Nissan,Great,Nissan Titan SV
175,68995.0,2020,3.5,13954,525,Ford,Good,Ford Expedition Max Platinum
176,31991.0,2023,4.8,358,2788,Kia,Unknown,3 Kia Seltos LX
178,50000.0,2022,4.3,14103,151,Kia,Great,Kia Carnival SX
180,35968.0,2023,4.9,4166,2602,Kia,Unknown,3 Kia K5 GT
181,19975.0,2018,3.1,46614,525,Chevrolet,Good,Chevrolet Malibu LT
182,39975.0,2021,4.9,11615,1808,Toyota,Good,Toyota Venza LE
183,27393.0,2021,4.9,18176,1710,Honda,Great,Honda Civic EX
184,34900.0,2022,4.8,6588,3101,Toyota,Great,Toyota Corolla Cross XLE
185,18300.0,2020,4.5,20686,887,Nissan,Good,Nissan Versa S
186,28791.0,2021,4.9,24997,3808,Honda,Good,Honda Civic Sport
187,38857.0,2022,4.1,8480,1370,Honda,Good,Honda Passport EX-L
189,258881.0,2022,5.0,6015,338,Porsche,Unknown,Porsche 911 Turbo S
190,25500.0,2021,2.3,6998,63,Volkswagen,Fair,Volkswagen Jetta 1.4T S
191,68372.0,2022,3.4,10722,1103,Ford,Good,Ford F-150 Tremor
192,33900.0,2019,4.6,25525,827,INFINITI,Great,9 INFINITI QX50 ESSENTIAL
193,25795.0,2022,4.9,14222,2602,Kia,Good,Kia K5 LXS
195,38942.0,2022,4.8,7210,441,BMW,Great,BMW X1 sDrive28i
197,29487.0,2022,4.8,6516,508,Mitsubishi,Good,Mitsubishi Eclipse Cross SE
198,49500.0,2022,5.0,27867,311,INFINITI,Good,INFINITI QX55 SENSORY
199,46669.0,2021,4.8,16280,2105,Volvo,Great,Volvo XC60 T5 Inscription
200,24813.0,2020,4.6,52830,1252,Chrysler,Great,Chrysler Pacifica Touring-L
203,53975.0,2022,3.7,102,25,Chevrolet,Unknown,Chevrolet Silverado 1500 RST
204,23809.0,2019,4.3,87313,122,Honda,Good,9 Honda Insight Touring
206,63400.0,2022,4.3,18690,255,BMW,Good,BMW X4 M40i
207,69995.0,2020,4.8,18868,76,Porsche,Great,Porsche Cayenne Base
208,40998.0,2021,4.2,21727,746,Nissan,Good,Nissan Maxima Platinum
209,52607.0,2021,4.6,7291,1819,Chrysler,Fair,Chrysler Pacifica Hybrid Pinnacle
210,61440.0,2019,4.6,41260,317,Porsche,Great,9 Porsche Cayenne Base
212,47990.0,2022,3.8,6012,301,BMW,Good,BMW 430 i xDrive
215,80995.0,2018,4.7,20331,372,Porsche,Good,Porsche Panamera E-Hybrid 4
219,120977.0,2021,4.8,16973,1341,Mercedes-Benz,Unknown,Mercedes-Benz AMG GLE 63 S-Model 4MATIC
220,52577.0,2022,4.9,11310,3522,BMW,Unknown,BMW M440 Gran Coupe i xDrive
221,47950.0,2021,4.8,19194,1839,Kia,Great,Kia Telluride EX
222,39999.0,2021,4.9,9149,1471,Dodge,Good,Dodge Charger R/T
223,46311.0,2019,4.0,43281,1289,BMW,Unknown,9 BMW M550 i xDrive
224,59673.0,2021,4.5,30568,843,BMW,Good,BMW X4 M40i
227,88000.0,2022,4.7,6528,2655,Jeep,Great,Jeep Grand Wagoneer Series II
228,47495.0,2021,3.8,13000,301,Subaru,Fair,Subaru WRX STI Limited w/Lip
229,29545.0,2023,4.7,797,714,Subaru,Unknown,3 Subaru Legacy Premium
230,27464.0,2021,3.8,35603,468,Toyota,Good,Toyota Corolla Hatchback XSE
231,199999.0,2022,4.3,1607,86,Porsche,Good,Porsche Cayenne E-Hybrid Coupe Turbo S
232,48498.0,2021,4.7,3655,345,Subaru,Fair,Subaru WRX STI Limited w/Lip
233,44985.0,2021,4.6,54907,1512,Nissan,Great,Nissan Titan PRO-4X
234,20000.0,2014,4.4,95349,1161,Ford,Good,4 Ford Transit Connect Titanium
235,37688.0,2020,4.8,36068,640,BMW,Great,BMW 330 i xDrive
238,65995.0,2019,1.7,34991,102,BMW,Unknown,9 BMW X6 M Base
239,34300.0,2019,4.2,7846,807,Ford,Good,9 Ford Transit Connect Titanium
240,24967.0,2018,3.4,69025,527,Toyota,Good,Toyota Avalon XLE
242,31751.0,2021,4.7,15933,398,Volkswagen,Great,Volkswagen Golf GTI 2.0T SE
243,74211.0,2019,1.7,16651,102,BMW,Great,9 BMW X6 M Base
244,59995.0,2020,4.6,45563,266,BMW,Great,BMW M550 i xDrive
245,19998.0,2018,3.1,49341,525,Chevrolet,Great,Chevrolet Malibu LT
246,44900.0,2021,4.9,28374,835,Volvo,Great,Volvo XC60 Momentum
247,38598.0,2021,4.7,13905,966,Volkswagen,Great,Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology
250,37989.0,2015,4.9,26315,336,Porsche,Great,5 Porsche Macan S
251,27000.0,2023,4.9,13866,1315,Kia,Unknown,3 Kia Sportage LX
254,53193.0,2020,4.5,44205,142,Ford,Good,Ford F-150 Platinum
255,33788.0,2020,4.0,68725,459,Chevrolet,Good,Chevrolet Traverse RS
257,40998.0,2018,2.8,32169,102,Volvo,Good,Volvo V90 Cross Country T5
258,31993.0,2020,4.7,12643,604,Volkswagen,Good,Volkswagen Golf GTI 2.0T S
259,36995.0,2023,2.8,6539,92,Kia,Unknown,3 Kia Sportage SX
261,38999.0,2019,4.9,48145,120,BMW,Great,9 BMW 540 i xDrive
263,36900.0,2022,4.9,5355,156,Subaru,Good,Subaru Forester Limited
264,41324.0,2021,4.8,8982,1493,Toyota,Good,Toyota Venza XLE
265,32500.0,2022,4.9,2892,6057,Subaru,Great,Subaru WRX Base
266,74990.0,2022,5.0,5801,283,Porsche,Great,Porsche 718 Cayman
267,42962.0,2019,3.7,13566,1682,Volvo,Good,9 Volvo S90 T5 Momentum
268,53208.0,2022,3.1,12614,1862,Cadillac,Great,Cadillac XT6 Premium Luxury AWD
269,62652.0,2022,2.7,5973,130,GMC,Great,GMC Sierra 1500 Limited Denali
270,30974.0,2020,4.9,33743,5569,Honda,Great,Honda Passport EX-L
271,56000.0,2022,3.9,1214,45,Kia,Good,Kia EV6 Wind
272,65990.0,2022,2.2,2312,158,Chevrolet,Fair,Chevrolet Silverado 1500 RST
273,86992.0,2019,4.3,19285,86,Porsche,Great,9 Porsche Panamera E-Hybrid 4
275,60999.0,2022,3.9,5776,689,Ford,Good,Ford Bronco Badlands
276,65999.0,2020,3.5,38584,525,Ford,Good,Ford Expedition Max Platinum
277,27962.0,2018,4.1,30053,959,BMW,Great,BMW X1 sDrive28i
278,34995.0,2021,3.7,15715,246,Volkswagen,Good,Volkswagen Golf GTI 2.0T SE
279,72439.0,2022,4.9,3357,527,INFINITI,Good,INFINITI QX80 PREMIUM SELECT
280,27995.0,2017,3.2,21869,452,Chevrolet,Fair,7 Chevrolet Volt LT
281,36718.0,2021,4.7,16813,435,GMC,Great,GMC Canyon Elevation
282,65490.0,2020,5.0,31348,48,BMW,Great,BMW X7 xDrive40i
283,51107.0,2020,2.8,42334,376,RAM,Good,RAM 2500 Big Horn
284,35610.0,2019,4.9,34387,1504,Cadillac,Good,9 Cadillac XT4 Premium Luxury
285,57000.0,2020,4.9,15705,481,Volvo,Good,Volvo S60 Hybrid T8 Polestar
286,33991.0,2022,4.1,8602,821,Kia,Good,Kia K5 GT-Line
287,36998.0,2018,3.2,28823,657,Cadillac,Great,Cadillac XT5 Platinum
288,53714.0,2020,4.1,44420,20,Ford,Great,Ford Expedition Max Limited
289,38847.0,2020,4.6,23934,162,INFINITI,Great,INFINITI QX60 Luxe
290,38408.0,2019,4.8,32825,2979,BMW,Great,9 BMW 440 Gran Coupe i xDrive
291,54543.0,2022,4.7,8290,257,Cadillac,Great,Cadillac XT6 Premium Luxury FWD
293,32882.0,2018,4.4,25385,122,Jeep,Fair,Jeep Wrangler Sport
294,33771.0,2019,4.6,46687,3552,BMW,Great,9 BMW 440 i
295,31998.0,2019,4.7,35865,1143,Toyota,Good,9 Toyota Highlander LE
296,40699.0,2021,4.6,11873,566,Cadillac,Great,Cadillac XT5 Premium Luxury
297,56996.0,2022,4.1,9567,439,BMW,Great,BMW M340 i
298,44987.0,2022,4.6,4161,308,GMC,Great,GMC Acadia Denali
299,49000.0,2019,4.8,64772,882,Ford,Great,9 Ford Expedition Limited
301,24948.0,2022,1.8,10139,117,Nissan,Great,Nissan Altima 2.5 SV
302,70398.0,2021,4.7,23948,830,Ford,Good,Ford Expedition Platinum
304,37797.0,2022,3.4,5554,38,Nissan,Good,Nissan Rogue SL
305,37899.0,2019,4.5,13886,460,Honda,Good,9 Honda Ridgeline Black Edition
306,32000.0,2019,2.3,45020,461,Dodge,Good,9 Dodge Durango GT
307,30990.0,2020,4.7,51747,292,Chevrolet,Great,Chevrolet Silverado 1500 Custom
308,29960.0,2017,4.6,18713,645,Toyota,Good,7 Toyota Avalon Limited
310,35490.0,2019,4.8,35085,509,Honda,Good,9 Honda Pilot EX-L w/Navigation/RES
312,27900.0,2020,3.4,12163,54,Honda,Good,Honda HR-V EX
313,20000.0,2017,4.8,53327,5319,Volkswagen,Fair,7 Volkswagen CC 2.0T Sport
314,55108.0,2020,4.6,31395,4441,Volvo,Great,Volvo XC90 Hybrid T8 Momentum 6 Passenger
315,59980.0,2020,4.8,13823,1616,BMW,Fair,BMW X4 M40i
317,472990.0,2021,3.9,4297,281,Rolls-Royce,Unknown,Rolls-Royce Cullinan
318,37990.0,2020,4.5,25694,60,Dodge,Good,Dodge Durango GT
319,54440.0,2021,4.8,33146,441,BMW,Great,BMW X4 M40i
321,41998.0,2021,3.7,30053,159,Toyota,Good,Toyota Highlander XLE
322,74936.0,2022,4.8,947,1488,Ford,Good,Ford Mustang Mach-E GT
323,111449.0,2022,4.9,732,407,Porsche,Good,Porsche Taycan Base
324,76943.0,2022,4.4,9314,398,BMW,Good,BMW X6 xDrive40i
325,75495.0,2022,4.6,10210,182,Jeep,Great,Jeep Wagoneer Series III
326,43678.0,2022,4.4,9598,341,Acura,Good,Acura TLX Technology
327,44000.0,2020,4.9,20132,2206,Volvo,Great,Volvo XC90 T6 Momentum 6 Passenger
328,44990.0,2020,4.7,26031,879,Ford,Good,Ford F-150 XLT
329,64350.0,2020,4.4,13765,294,BMW,Great,BMW M550 i xDrive
330,62898.0,2020,3.6,12223,492,BMW,Great,BMW 740 i xDrive
331,46000.0,2021,4.8,26613,1578,Toyota,Good,Toyota Highlander Platinum
332,41546.0,2021,4.8,17350,796,Toyota,Good,Toyota Avalon XSE Nightshade
333,63990.0,2020,2.7,32914,184,BMW,Great,BMW M550 i xDrive
334,44888.0,2020,4.3,23829,433,Volvo,Good,Volvo S90 T6 R-Design
335,81200.0,2020,4.9,33382,394,BMW,Great,BMW M850 Gran Coupe i xDrive
336,70890.0,2020,4.7,28669,153,Porsche,Great,Porsche Cayenne Base
337,52592.0,2020,3.5,17824,31,Ford,Good,Ford Expedition XLT
338,52975.0,2022,3.5,30937,204,Kia,Good,Kia Carnival SX Prestige
339,82950.0,2019,4.5,20433,1294,Cadillac,Great,9 Cadillac CT6-V 4.2L Blackwing Twin Turbo
340,114999.0,2021,2.3,23152,64,Cadillac,Good,Cadillac Escalade ESV Sport
341,34988.0,2022,4.1,3399,57,Cadillac,Unknown,Cadillac CT4 Luxury
342,114999.0,2021,2.3,19445,64,Cadillac,Good,Cadillac Escalade ESV Premium Luxury Platinum
343,35867.0,2021,4.5,11962,2456,Toyota,Good,Toyota Highlander L
344,42000.0,2022,4.7,9478,57,INFINITI,Good,INFINITI QX50 Luxe
345,71986.0,2022,3.5,1644,594,GMC,Good,GMC Sierra 1500 Denali
346,30506.0,2019,4.7,37740,1318,Volkswagen,Great,9 Volkswagen Arteon 2.0T SEL
347,28500.0,2018,4.2,64067,629,GMC,Good,GMC Canyon SLE
348,98981.0,2020,4.9,16456,3038,Porsche,Great,Porsche Panamera E-Hybrid 4
349,38990.0,2021,4.6,16500,108,GMC,Great,GMC Canyon AT4 w/Leather
350,41995.0,2021,4.8,19454,438,Chevrolet,Good,Chevrolet Traverse RS
351,44700.0,2022,4.6,4506,2412,Volkswagen,Good,Volkswagen Atlas Cross Sport 2.0T SEL
352,35500.0,2019,4.9,25701,171,GMC,Good,9 GMC Canyon SLE
353,29000.0,2020,4.1,42298,1534,Kia,Unknown,Kia Stinger GT-Line
354,24324.0,2019,2.7,60124,173,Ford,Great,9 Ford Flex Limited
355,41900.0,2020,4.3,43380,433,Volvo,Fair,Volvo V60 Cross Country T5
357,26990.0,2020,4.5,67747,60,Chrysler,Great,Chrysler Pacifica Touring-L
358,55500.0,2022,4.7,5740,612,Jeep,Great,Jeep Grand Cherokee L Overland
359,25939.0,2020,4.7,27811,966,Volkswagen,Fair,Volkswagen Passat 2.0T R-Line
360,25567.0,2019,4.3,33698,218,Acura,Great,9 Acura ILX Premium Package
361,50000.0,2021,4.0,35322,865,Ford,Great,Ford Expedition XLT
362,124995.0,2022,4.4,10140,310,Porsche,Great,Porsche Taycan Cross Turismo 4
363,27599.0,2017,4.9,65958,1121,Honda,Great,7 Honda Pilot EX-L
364,34988.0,2020,4.8,21978,600,BMW,Good,BMW 330 i
365,61996.0,2022,3.1,2998,267,Nissan,Good,Nissan Armada Platinum
366,23681.0,2020,3.8,8814,718,Honda,Good,Honda Fit EX
367,129990.0,2022,5.0,7864,283,Porsche,Good,Porsche Taycan Cross Turismo 4
368,33990.0,2021,4.6,39045,108,GMC,Great,GMC Canyon Elevation
370,43385.0,2019,4.5,26717,1225,BMW,Great,9 BMW 640 Gran Turismo i xDrive
372,39447.0,2022,3.7,9043,397,Volkswagen,Good,Volkswagen Atlas Cross Sport 2.0T SE w/Technology
373,39677.0,2022,4.9,17882,2021,Kia,Good,Kia Carnival LXS
374,67995.0,2020,4.9,47575,280,Cadillac,Great,Cadillac Escalade Platinum
375,38500.0,2020,4.9,16112,479,Volvo,Great,Volvo XC40 T4 Inscription
376,30995.0,2021,3.6,2272,115,Toyota,Fair,Toyota Camry SE
377,37791.0,2021,4.6,20460,350,Volkswagen,Great,Volkswagen Atlas 3.6 V6 SE w/ Technology
378,79992.0,2022,4.3,1179,86,Porsche,Great,Porsche Cayenne Base
380,33970.0,2020,4.6,26601,466,Volvo,Good,Volvo S60 T5 Momentum
381,38497.0,2019,4.6,25449,846,BMW,Good,9 BMW X3 sDrive30i
382,26900.0,2020,3.1,43323,206,Toyota,Good,Toyota Corolla Hatchback XSE
384,30500.0,2020,4.9,31394,156,Subaru,Good,Subaru Legacy
386,30679.0,2019,4.9,36748,1666,Toyota,Great,9 Toyota Tacoma SR5
387,45990.0,2020,2.6,22021,210,Ford,Good,Ford F-150 XLT
388,29650.0,2021,4.9,34217,523,Honda,Great,Honda Accord Sport 1.5T
389,73500.0,2022,4.9,4171,1190,Ford,Unknown,Ford Expedition Max Limited
390,33682.0,2019,4.4,26071,73,BMW,Good,9 BMW i3 120Ah w/Range Extender
391,45903.0,2019,5.0,42830,311,INFINITI,Great,9 INFINITI QX80 Luxe
392,48700.0,2021,4.9,41363,850,Nissan,Good,Nissan Armada SL
393,50985.0,2019,4.0,53951,1458,GMC,Great,9 GMC Yukon Denali
394,46962.0,2022,3.7,12392,1682,Volvo,Great,Volvo XC60 B5 Momentum
395,79991.0,2018,4.8,28558,35,Porsche,Great,Porsche Panamera 4S
396,51382.0,2022,4.5,18496,854,Kia,Great,Kia Carnival SX
397,69981.0,2019,4.5,23109,1027,BMW,Unknown,9 BMW M850 i xDrive
398,44509.0,2017,3.3,38540,285,Ford,Good,7 Ford Transit-350 XLT
399,50997.0,2020,4.3,17604,961,Toyota,Good,Toyota Tundra Limited
400,77462.0,2022,4.1,10495,959,BMW,Good,BMW X3 M AWD
401,30900.0,2020,4.6,61725,583,INFINITI,Unknown,INFINITI Q60 3.0t LUXE
402,21000.0,2021,4.6,22165,870,Kia,Unknown,Kia K5 LX
403,41900.0,2020,4.9,41826,2206,Volvo,Great,Volvo XC90 T6 Momentum 7 Passenger
404,32003.0,2020,4.6,30585,1182,Kia,Good,Kia Cadenza Limited
405,34944.0,2021,3.7,21962,1712,Volkswagen,Good,Volkswagen Arteon 2.0T SEL R-Line
406,76777.0,2022,4.7,4689,661,RAM,Good,RAM 3500 Laramie
407,47900.0,2020,4.9,31275,835,Volvo,Great,Volvo XC90 T5 Momentum
408,31999.0,2017,4.7,71088,393,Honda,Good,7 Honda Pilot Elite
409,41990.0,2019,2.7,53272,184,BMW,Good,9 BMW 440 i
410,81995.0,2020,4.8,21903,3304,BMW,Unknown,BMW X6 M50i
