,Price,Year,Rating,Mileage,Rating-Count,Name,Status,model_details
1590,45090.0,2022,4.8,8654,1045,Volkswagen,Good,Volkswagen Atlas 2.0T SEL
1592,23432.0,2019,4.7,55148,68,Ford,Fair,9 Ford Fusion SE
1593,62831.0,2022,2.5,1120,168,Volvo,Good,Volvo XC90 T6 Inscription 6 Passenger
1594,44995.0,2022,4.5,3780,791,Chevrolet,Great,Chevrolet Traverse RS
1595,42619.0,2020,4.7,69495,1458,Chevrolet,Fair,Chevrolet Express 3500 LT
1596,29494.0,2020,4.9,49373,4100,Jeep,Fair,Jeep Renegade Limited
1597,41441.0,2022,2.9,1165,12,Nissan,Good,Nissan Frontier PRO-4X
1598,39750.0,2020,4.9,32804,456,Honda,Good,Honda Passport Elite
1599,25996.0,2022,4.7,3676,312,Volkswagen,Good,Volkswagen Jetta 1.5T SE
1600,67896.0,2021,4.8,15189,2880,Ford,Good,Ford Expedition Max Limited
1601,53995.0,2022,4.0,16351,3326,Ford,Great,Ford F-150 XLT
1602,43977.0,2021,4.3,19994,1619,Dodge,Good,Dodge Durango R/T
1603,35999.0,2018,4.6,33436,946,Toyota,Great,Toyota Tundra SR5
1605,34997.0,2022,3.5,799,843,Buick,Good,Buick Envision Preferred
1606,34943.0,2020,4.6,28242,1614,Nissan,Good,Nissan Murano Platinum
1607,32631.0,2021,4.6,57519,103,Ford,Great,Ford Explorer Limited
1608,71698.0,2022,3.4,11531,283,Acura,Fair,Acura MDX Type S w/Advance Package
1609,55990.0,2021,2.7,25097,184,BMW,Great,BMW X5 sDrive40i
1610,69911.0,2021,4.2,18615,18,INFINITI,Good,INFINITI QX80 SENSORY
1611,24499.0,2019,4.8,38516,2796,Kia,Great,9 Kia Cadenza Premium
1612,44991.0,2022,4.8,7622,1049,Volvo,Good,Volvo S60 B5 Momentum
1613,34988.0,2020,3.3,1124,268,Cadillac,Great,Cadillac CT4 Premium Luxury
1614,29240.0,2022,4.9,11140,3162,Volkswagen,Good,Volkswagen Passat 2.0T R-Line
1615,289356.0,2022,4.9,1399,511,Porsche,Great,Porsche 911 GT3
1616,43995.0,2021,4.5,41221,215,GMC,Great,GMC Sierra 1500 SLE
1617,127550.0,2021,4.6,14900,317,Porsche,Good,Porsche Taycan 4S
1618,63900.0,2022,4.4,2073,64,GMC,Great,GMC Sierra 1500 Limited Denali
1619,37998.0,2019,3.8,20025,22,GMC,Good,9 GMC Acadia SLT-
1620,79489.0,2022,4.4,6114,1499,GMC,Fair,GMC Sierra 1500 AT4
1621,26480.0,2018,4.8,46040,175,Honda,Good,Honda Civic EX
1622,69599.0,2021,3.3,16393,285,Ford,Great,Ford Expedition Platinum
1623,48500.0,2021,4.6,13200,2659,Cadillac,Good,Cadillac CT4 V-Series
1624,33291.0,2018,5.0,39742,2579,Honda,Great,Honda Ridgeline RTL
1625,46490.0,2021,4.0,21547,252,Volkswagen,Great,Volkswagen Atlas 3.6 V6 SEL Premium
1626,30765.0,2019,3.6,41205,514,GMC,Great,9 GMC Sierra 1500 Limited Base
1627,32598.0,2020,4.7,29554,762,Buick,Good,Buick Envision Essence
1628,54987.0,2022,4.9,1330,1039,Volvo,Great,Volvo XC90 T5 Momentum 7 Passenger
1629,42499.0,2022,4.8,7367,322,Jeep,Great,Jeep Grand Cherokee WK Limited
1630,34999.0,2020,2.8,48045,85,Dodge,Good,Dodge Durango GT
1631,29479.0,2022,3.8,8917,579,Acura,Good,Acura ILX Premium Package
1632,33994.0,2021,4.9,20170,2041,Honda,Great,Honda Pilot EX-L
1633,25680.0,2021,4.4,13513,1053,MINI,Great,MINI Hardtop Cooper
1634,26997.0,2020,4.8,31785,1348,Acura,Great,Acura TLX V6
1636,33999.0,2021,4.8,12981,4334,Toyota,Fair,Toyota Camry Hybrid LE
1637,44981.0,2022,4.3,8318,1074,Ford,Good,Ford Ranger XLT
1638,38995.0,2022,4.7,23151,1106,Honda,Fair,Honda Civic EX
1639,35495.0,2020,4.8,20575,6677,Dodge,Great,Dodge Durango GT
1640,45462.0,2020,4.1,31971,959,BMW,Good,BMW X4 xDrive30i
1641,51936.0,2021,4.3,953,162,Ford,Good,Ford Mustang GT
1642,20678.0,2020,3.1,9514,1862,Kia,Great,Kia Optima LX
1643,44930.0,2022,4.4,4174,341,Acura,Fair,Acura TLX A-Spec
1645,25296.0,2021,4.8,5777,1348,Acura,Great,Acura ILX Base
1646,39200.0,2020,3.7,17124,38,Alfa Romeo,Great,Alfa Romeo Stelvio Ti
1647,119898.0,2020,4.4,14438,72,Porsche,Unknown,Porsche 911 Carrera
1648,42453.0,2020,4.6,28758,587,Volvo,Good,Volvo XC40 T5 R-Design
1649,32150.0,2021,4.6,22132,158,Buick,Good,Buick Envision Preferred
1650,36309.0,2020,4.5,31892,1415,Dodge,Good,Dodge Durango GT
1651,54999.0,2020,4.9,25364,589,BMW,Great,BMW 740 i
1653,63945.0,2021,5.0,22581,844,Ford,Fair,Ford Expedition Limited
1654,34900.0,2019,4.3,32569,433,Volvo,Good,9 Volvo S60 T6 Momentum
1655,47199.0,2022,3.7,5979,38,Volvo,Good,Volvo XC60 B5 AWD Momentum
1656,33999.0,2021,1.7,30772,26,Nissan,Good,Nissan Rogue Platinum
1657,37990.0,2021,4.8,24316,2580,Subaru,Unknown,Subaru Ascent Limited 7-Passenger
1658,36995.0,2022,4.6,4532,425,INFINITI,Unknown,INFINITI QX50 PURE
1659,28495.0,2019,4.9,16394,371,Honda,Great,9 Honda Pilot LX
1660,68911.0,2021,4.0,17938,1289,BMW,Great,BMW X3 M AWD
1661,67487.0,2020,4.9,37527,2739,BMW,Good,BMW 840 i
1662,41179.0,2022,4.7,2922,4451,Ford,Good,Ford Explorer XLT
1663,34998.0,2022,4.9,5387,5029,Nissan,Good,Nissan Frontier SV
1664,58998.0,2017,2.5,85112,24,Ford,Good,7 Ford F-250 King Ranch
1666,27991.0,2021,4.4,10619,760,Kia,Good,Kia K5 LXS
1667,106745.0,2022,4.9,5181,438,Cadillac,Great,Cadillac Escalade Premium Luxury
1668,31562.0,2018,4.1,27828,959,BMW,Great,BMW X3 xDrive30i
1669,29654.0,2020,2.2,11968,24,Nissan,Good,Nissan Murano S
1670,73500.0,2022,4.7,120,1051,Toyota,Unknown,Toyota Tundra 1794
1671,42200.0,2022,4.5,1309,1007,Volkswagen,Good,Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology
1672,42500.0,2019,4.6,56802,108,GMC,Great,9 GMC Yukon SLT Standard Edition
1674,37500.0,2020,4.5,35847,284,Acura,Good,Acura RDX Technology Package
1675,41992.0,2021,3.7,11992,163,RAM,Great,RAM 1500 Classic SLT
1676,29995.0,2020,4.6,30555,2653,Nissan,Good,Nissan Maxima 3.5 SL
1678,42000.0,2021,4.9,19840,1090,GMC,Good,GMC Acadia AT4
1679,32999.0,2019,4.7,24864,975,Chevrolet,Great,9 Chevrolet Blazer 2LT
1680,22959.0,2021,4.7,68140,2254,Chrysler,Great,Chrysler Voyager LXI
1681,37491.0,2021,4.9,27856,108,Cadillac,Great,Cadillac CT5 Luxury RWD
1682,38933.0,2021,4.7,14261,326,Honda,Good,Honda Ridgeline Sport
1684,51775.0,2022,4.7,5565,1341,INFINITI,Unknown,INFINITI QX60 LUXE
1685,47461.0,2018,4.1,41638,93,Ford,Unknown,Ford Expedition LIMITED
1686,49991.0,2022,2.2,2020,19,Toyota,Unknown,Toyota Highlander XSE
1690,37500.0,2022,3.7,18675,49,Kia,Unknown,Kia Stinger GT-Line
1691,51998.0,2022,4.3,23406,1197,Kia,Unknown,Kia Carnival SX
1695,33799.0,2022,4.6,1975,390,Nissan,Unknown,Nissan Leaf SV PLUS
1699,36475.0,2022,5.0,3811,94,Kia,Unknown,Kia K5 GT
1700,30200.0,2021,4.6,21863,365,Acura,Unknown,Acura ILX
1701,18000.0,2016,1.5,74633,105,Honda,Good,6 Honda Civic EX
1703,35899.0,2021,3.5,5256,82,Toyota,Unknown,Toyota Avalon XLE
1704,60990.0,2020,4.4,32131,225,Ford,Unknown,Ford Transit-350 XLT
1706,26990.0,2020,4.9,73890,56,Jeep,Unknown,Jeep Compass Limited
1707,46900.0,2023,4.2,352,832,Nissan,Unknown,3 Nissan Pathfinder SL
1708,35976.0,2021,4.5,13598,533,INFINITI,Unknown,INFINITI QX50 LUXE
1710,56990.0,2022,4.9,6192,147,Volvo,Unknown,Volvo V90 Cross Country B6
