,Name,Vehicle_details,Mileage,Rating,Rating-Count,Price,Deal-Status,Year,Status
2324,GMC,2019 GMC Acadia SLE-1,40950 ,3.0,51 ,28588,Great Deal | $2610 under,2019,Great
2325,Kia,2023 Kia Sportage X-Pro,9620 ,4.8,1476 ,40498,CPO Warrantied,2023,Unknown
2326,Ford,2019 Ford Explorer XLT,32512 ,3.9,379 ,33495,Good Deal | $1347 under,2019,Good
2327,Honda,2020 Honda Pilot EX,68377 ,4.4,508 ,29745,Good Deal | $1033 under,2020,Good
2328,Dodge,2018 Dodge Charger GT,59150 ,4.5,1653 ,27925,Good Deal | $664 under,2018,Good
2329,Chevrolet,2021 Chevrolet Traverse LT Cloth,22568 ,5.0,3895 ,36000,Great Deal | $4176 under,2021,Great
2330,Honda,2019 Honda CR-V EX,29169 ,4.8,2348 ,30449,Good Deal,2019,Good
2331,Toyota,2022 Toyota Highlander L,15737 ,4.2,2322 ,35795,CPO Warrantied,2022,Unknown
2332,Porsche,2018 Porsche 718 Boxster S,12438 ,4.9,4732 ,77356,Good Deal | $3662 under,2018,Good
2333,Toyota,2020 Toyota Camry Hybrid LE,34079 ,4.2,1083 ,29950,Good Deal,2020,Good
2334,Honda,2019 Honda Odyssey Touring,51500 ,2.7,1040 ,36994,Great Deal | $1905 under,2019,Great
2335,Ford,2022 Ford Mustang Mach-E GT,6934 ,4.5,103 ,67255,Good Deal,2022,Good
2336,INFINITI,2021 INFINITI QX50 ESSENTIAL,29559 ,4.9,157 ,34986,Great Deal,2021,Great
2337,Acura,2022 Acura TLX A-Spec,3268 ,3.0,585 ,41490,Great Deal | $2045 under,2022,Great
2338,Ford,2021 Ford Mustang Mach-E Select,4465 ,4.8,789 ,51995,Good Deal | $1312 under,2021,Good
2339,Ford,2021 Ford Mustang Mach-E Premium,35621 ,4.7,781 ,58997,Good Deal | $1227 under,2021,Good
2340,Acura,2020 Acura TLX V6 w/Technology Package,55060 ,4.8,1609 ,31244,Good Deal | $323 under,2020,Good
2341,Volvo,2022 Volvo S60 B5 AWD Momentum,6004 ,3.7,38 ,43537,Good Deal,2022,Good
2342,Volvo,2022 Volvo S60 B5,7049 ,3.7,38 ,41549,CPO Warrantied,2022,Unknown
2343,Ford,2020 Ford Explorer Limited,61240 ,4.2,981 ,37683,Great Deal | $1899 under,2020,Great
2344,BMW,2020 BMW 430 i,15857 ,4.5,365 ,38995,Good Deal,2020,Good
2345,Subaru,2019 Subaru Forester Touring,51243 ,4.8,879 ,30010,Great Deal | $2201 under,2019,Great
2346,Dodge,2020 Dodge Durango R/T,66806 ,4.9,431 ,38757,Good Deal | $1029 under,2020,Good
2347,GMC,2019 GMC Yukon Denali,21699 ,Nan,67 ,61388,Great Deal | $6084 under,2019,Great
2348,GMC,2020 GMC Acadia SLT,56721 ,3.3,513 ,32138,Great Deal | $3153 under,2020,Great
2349,GMC,2022 GMC Acadia Denali,2141 ,4.7,975 ,58599,Fair Deal,2022,Fair
